EmployeeID,JobLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,ManagerChangesLast2Yrs,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear
100068,4,2,1,0,1,2.0,9,11,6
100069,2,2,1,0,0,0.0,8,7,4
100070,4,1,0,0,0,2.0,9,5,4
100071,5,2,0,0,1,1.0,4,12,4
100072,2,0,0,0,0,0.0,6,8,2
100073,5,1,0,0,0,0.0,5,9,1
100074,3,1,0,0,0,0.0,4,3,4
100075,5,6,4,1,1,0.0,5,18,6
100076,4,0,0,0,0,0.0,3,8,3
100077,3,5,3,2,3,0.0,2,17,1
100078,2,1,0,0,0,0.0,0,12,4
100079,2,0,0,0,0,0.0,0,2,1
100080,4,1,0,0,0,0.0,5,4,5
100081,1,1,0,0,0,0.0,8,1,3
100082,1,4,2,1,3,0.0,7,8,0
100083,2,2,1,0,0,2.0,1,13,4
100084,4,16,9,8,14,0.0,8,24,3
100085,1,16,7,5,7,1.0,7,30,2
100086,5,2,1,0,1,1.0,8,3,5
100087,2,7,2,3,6,2.0,3,10,4
100088,5,0,0,0,0,0.0,8,9,0
100089,4,3,0,0,1,,1,4,5
100090,5,6,3,1,0,0.0,0,19,3
100091,1,1,0,0,0,1.0,8,8,5
100092,1,0,0,0,0,0.0,9,8,3
100093,3,0,0,0,0,1.0,7,2,1
100094,2,2,1,0,0,1.0,6,14,4
100095,4,3,2,1,2,0.0,7,17,0
100096,2,2,1,0,1,2.0,0,10,2
100097,5,2,0,0,1,1.0,8,7,1
100098,4,3,2,1,1,0.0,9,8,4
100099,4,7,5,2,3,0.0,8,13,0
100100,1,0,0,0,0,0.0,8,11,1
100101,5,7,5,0,0,0.0,5,11,0
100102,1,5,1,0,3,2.0,3,10,5
100103,1,6,3,2,0,0.0,1,16,0
100104,3,6,3,1,2,0.0,3,6,1
100105,1,3,0,0,0,,6,5,1
100106,2,1,0,0,0,0.0,0,12,4
100107,4,3,1,0,1,,8,11,1
100108,1,15,6,4,3,0.0,2,26,6
100109,2,4,2,1,1,0.0,3,8,6
100110,5,0,0,0,0,1.0,4,4,5
100111,4,0,0,0,0,0.0,2,7,6
100112,5,24,17,5,12,0.0,3,34,4
100113,2,0,0,0,0,0.0,4,10,0
100114,5,0,0,0,0,,0,12,1
100115,5,2,1,0,0,1.0,8,3,4
100116,5,17,5,3,2,1.0,9,29,4
100117,1,1,0,0,0,0.0,9,7,2
100118,1,2,1,0,1,1.0,3,10,4
100119,1,5,3,0,1,1.0,8,11,4
100120,4,0,0,0,0,1.0,3,11,2
100121,2,11,9,1,5,0.0,0,15,3
100122,1,3,0,0,2,4.0,4,15,5
100123,5,3,1,0,2,1.0,8,8,1
100124,5,9,2,2,6,0.0,2,12,2
100125,5,15,11,0,9,0.0,4,28,6
100126,5,2,1,1,1,1.0,2,13,4
100127,3,0,0,0,0,1.0,2,6,4
100128,4,8,4,3,4,1.0,0,8,1
100129,2,2,1,0,1,0.0,1,5,5
100130,2,13,8,3,6,1.0,1,15,6
100131,1,14,12,1,6,0.0,8,26,0
100132,3,0,0,0,0,0.0,6,3,2
100133,2,15,10,1,5,0.0,7,15,3
100134,4,2,1,0,1,0.0,1,13,1
100135,5,5,3,1,2,1.0,8,17,1
100136,1,0,0,0,0,1.0,2,1,2
100137,4,10,2,5,5,2.0,9,21,4
100138,2,5,1,0,3,0.0,1,15,4
100139,3,5,2,1,2,0.0,0,17,3
100140,1,11,7,1,7,2.0,8,19,2
100141,2,3,0,0,1,0.0,7,17,1
100142,1,2,0,0,0,0.0,3,8,6
100143,2,10,4,3,8,0.0,6,22,2
100144,5,6,3,1,1,0.0,2,11,0
100145,3,14,5,2,7,0.0,2,15,1
100146,5,14,3,6,3,0.0,3,14,3
100147,2,2,0,0,1,1.0,1,3,3
100148,4,2,0,0,0,1.0,9,8,1
100149,5,1,0,0,0,4.0,3,2,4
100150,4,5,2,0,1,1.0,9,7,1
100151,2,2,1,0,0,1.0,2,9,1
100152,3,7,4,3,6,1.0,7,13,0
100153,4,0,0,0,0,0.0,1,11,1
100154,2,0,0,0,0,2.0,8,10,5
100155,4,1,0,0,0,0.0,2,11,6
100156,5,0,0,0,0,0.0,3,13,5
100157,2,4,1,1,2,0.0,9,14,2
100158,5,0,0,0,0,0.0,9,8,2
100159,1,0,0,0,0,0.0,2,11,6
100160,2,0,0,0,0,1.0,2,3,3
100161,4,7,6,1,2,0.0,7,13,4
100162,1,8,5,4,3,3.0,7,8,3
100163,5,0,0,0,0,1.0,5,10,0
100164,5,6,1,0,4,1.0,3,16,1
100165,4,2,0,0,1,0.0,0,3,6
100166,1,1,0,0,0,0.0,3,7,3
100167,3,4,3,0,1,0.0,7,18,1
100168,4,0,0,0,0,1.0,5,1,3
100169,5,7,6,3,6,1.0,1,12,1
100170,2,0,0,0,0,0.0,2,12,3
100171,1,15,5,5,6,3.0,6,24,5
100172,3,0,0,0,0,0.0,3,11,5
100173,2,4,3,1,1,0.0,3,12,5
100174,1,11,9,2,7,0.0,4,21,6
100175,4,0,0,0,0,0.0,7,4,2
100176,4,3,1,1,1,1.0,6,12,6
100177,1,2,1,0,1,0.0,8,8,6
100178,3,4,1,2,2,0.0,4,16,0
100179,1,1,0,0,0,,0,1,3
100180,2,0,0,0,0,0.0,3,7,2
100181,2,4,2,0,2,0.0,5,12,6
100182,4,2,0,0,1,0.0,5,16,6
100183,1,4,2,1,1,3.0,8,16,4
100184,4,1,0,0,0,0.0,9,5,3
100185,3,2,1,0,1,3.0,4,7,1
100186,2,4,3,2,2,0.0,4,16,0
100187,5,4,2,0,1,2.0,5,14,2
100188,5,2,1,0,1,0.0,5,9,2
100189,1,1,0,0,0,0.0,2,4,0
100190,1,1,0,0,0,0.0,5,2,3
100191,5,0,0,0,0,0.0,7,14,1
100192,1,1,0,0,0,0.0,5,10,4
100193,2,1,0,0,0,1.0,4,8,3
100194,3,5,2,2,3,0.0,2,6,0
100195,3,4,3,0,0,0.0,0,8,3
100196,4,2,0,0,1,0.0,4,16,6
100197,2,1,0,0,0,1.0,5,13,3
100198,1,1,0,0,0,0.0,5,6,0
100199,1,3,2,0,0,2.0,5,7,0
100200,4,12,9,6,4,1.0,2,17,4
100201,4,5,1,2,3,1.0,3,10,0
100202,1,6,4,0,3,,2,8,0
100203,1,8,3,0,6,0.0,1,18,0
100204,2,2,1,0,0,0.0,7,12,6
100205,4,0,0,0,0,0.0,6,2,6
100206,2,4,3,1,1,1.0,7,12,6
100207,1,1,0,0,0,0.0,5,3,2
100208,5,4,1,1,2,0.0,6,6,0
100209,5,6,1,2,1,0.0,0,16,0
100210,1,7,3,0,4,2.0,9,20,0
100211,4,1,0,0,0,2.0,4,2,4
100212,5,3,2,0,1,0.0,3,9,6
100213,4,4,1,0,2,,9,13,3
100214,5,8,6,2,1,4.0,2,17,6
100215,4,7,1,4,6,0.0,1,10,0
100216,5,22,7,3,11,1.0,8,22,0
100217,4,0,0,0,0,2.0,7,5,4
100218,2,2,1,0,0,1.0,9,6,3
100219,4,1,0,0,0,1.0,1,14,4
100220,2,0,0,0,0,0.0,5,10,5
100221,2,12,8,5,6,0.0,2,13,1
100222,1,30,15,0,28,1.0,2,35,1
100223,2,0,0,0,0,1.0,4,0,1
100224,3,0,0,0,0,0.0,6,2,0
100225,2,1,0,0,0,0.0,6,4,4
100226,4,9,2,4,5,0.0,9,21,0
100227,2,1,0,0,0,1.0,0,3,1
100228,4,0,0,0,0,3.0,6,14,3
100229,4,0,0,0,0,1.0,6,12,3
100230,3,2,1,0,0,0.0,5,7,5
100231,2,13,3,6,12,0.0,5,23,4
100232,2,1,0,0,0,1.0,1,4,5
100233,5,2,1,0,1,0.0,2,15,6
100234,5,0,0,0,0,0.0,2,0,3
100235,1,3,0,1,2,0.0,2,7,1
100236,4,5,1,1,2,0.0,1,9,5
100237,3,1,0,0,0,1.0,8,9,5
100238,5,1,0,0,0,3.0,5,8,5
100239,2,9,2,3,7,1.0,1,23,4
100240,1,0,0,0,0,0.0,2,7,6
100241,3,5,2,2,0,1.0,9,9,4
100242,2,2,0,0,0,2.0,5,9,1
100243,2,1,0,0,0,1.0,3,14,1
100244,4,5,3,1,2,1.0,6,14,1
100245,4,8,5,1,3,1.0,5,14,5
100246,5,4,3,0,2,0.0,5,4,1
100247,5,0,0,0,0,0.0,2,11,6
100248,2,3,1,1,1,0.0,7,9,4
100249,2,3,2,0,0,2.0,8,13,3
100250,5,3,2,1,2,1.0,5,10,1
100251,5,5,1,2,4,0.0,1,7,2
100252,2,0,0,0,0,0.0,0,8,4
100253,3,3,0,0,0,,2,10,0
100254,2,4,2,2,2,0.0,2,5,3
100255,3,2,1,1,1,,7,7,4
100256,3,5,2,0,3,1.0,4,8,1
100257,2,1,0,0,0,1.0,0,3,5
100258,1,1,0,0,0,0.0,3,11,6
100259,5,16,4,6,13,1.0,6,21,2
100260,4,2,0,0,0,1.0,4,11,0
100261,2,2,0,0,0,0.0,9,14,3
100262,3,4,1,1,0,1.0,5,18,1
100263,2,17,14,9,8,0.0,9,25,4
100264,5,20,17,5,13,1.0,3,21,4
100265,3,4,3,1,2,0.0,1,13,3
100266,4,0,0,0,0,1.0,8,9,2
100267,4,11,9,1,2,2.0,1,20,5
100268,4,4,2,0,3,0.0,1,8,6
100269,1,2,1,0,1,0.0,1,7,1
100270,3,8,5,1,4,0.0,0,11,3
100271,3,2,1,0,1,2.0,2,8,3
100272,1,0,0,0,0,2.0,5,1,4
100273,3,8,6,0,3,2.0,6,14,3
100274,1,3,1,1,2,0.0,0,4,0
100275,2,2,1,0,1,1.0,4,2,0
100276,5,1,0,0,0,1.0,4,11,1
100277,4,4,1,0,3,1.0,0,8,3
100278,1,1,0,0,0,0.0,3,2,4
100279,1,1,0,0,0,,9,8,5
100280,1,5,2,1,3,0.0,0,16,1
100281,2,10,3,2,5,0.0,0,21,2
100282,1,3,2,0,0,,6,14,4
100283,5,7,4,1,5,0.0,6,14,2
100284,5,7,4,3,1,0.0,2,7,1
100285,4,5,4,2,3,0.0,6,8,0
100286,2,1,0,0,0,0.0,2,14,4
100287,5,10,3,4,4,0.0,1,18,5
100288,3,2,0,0,0,1.0,9,6,4
100289,3,0,0,0,0,2.0,3,11,1
100290,3,1,0,0,0,1.0,9,11,4
100291,1,7,2,1,6,0.0,2,16,4
100292,1,0,0,0,0,0.0,6,12,1
100293,3,0,0,0,0,0.0,0,5,6
100294,4,5,3,0,3,0.0,5,7,3
100295,4,11,2,0,8,0.0,1,15,1
100296,1,5,1,1,2,2.0,7,18,4
100297,3,1,0,0,0,0.0,4,12,5
100298,4,0,0,0,0,0.0,2,12,5
100299,1,4,3,0,3,0.0,9,16,1
100300,3,0,0,0,0,1.0,6,12,4
100301,2,4,3,1,1,0.0,1,4,2
100302,3,1,0,0,0,2.0,4,8,2
100303,3,11,10,0,6,1.0,7,21,0
100304,5,3,0,0,1,0.0,0,17,6
100305,5,1,0,0,0,0.0,0,6,1
100306,2,9,5,0,6,0.0,2,20,1
100307,2,1,0,0,0,1.0,2,2,2
100308,3,1,0,0,0,,6,4,2
100309,4,8,3,2,7,0.0,5,11,2
100310,2,1,0,0,0,0.0,6,9,5
100311,3,2,0,0,0,1.0,3,10,5
100312,1,2,0,0,1,0.0,1,6,0
100313,5,0,0,0,0,1.0,1,11,0
100314,4,0,0,0,0,0.0,9,2,3
100315,3,6,4,1,1,,0,6,5
100316,1,5,4,1,3,0.0,8,10,1
100317,5,1,0,0,0,0.0,6,8,0
100318,1,1,0,0,0,0.0,9,1,4
100319,3,14,12,6,13,2.0,2,24,1
100320,2,21,6,8,5,1.0,1,21,3
100321,5,3,1,1,1,1.0,2,17,2
100322,1,8,6,3,4,0.0,6,18,3
100323,2,6,4,2,4,0.0,4,12,1
100324,4,1,0,0,0,0.0,2,7,2
100325,3,0,0,0,0,1.0,8,1,3
100326,3,0,0,0,0,0.0,1,2,3
100327,5,9,8,0,6,0.0,6,10,1
100328,1,6,2,2,4,0.0,9,11,0
100329,4,5,4,2,2,0.0,5,17,4
100330,5,0,0,0,0,0.0,5,12,3
100331,5,5,1,0,1,0.0,6,12,4
100332,1,7,3,1,1,1.0,5,14,5
100333,4,9,6,4,3,0.0,1,23,5
100334,1,0,0,0,0,2.0,4,0,1
100335,3,5,2,1,4,0.0,2,15,6
100336,2,0,0,0,0,1.0,8,8,1
100337,3,6,5,3,4,0.0,7,16,6
100338,3,5,2,0,4,,9,12,6
100339,5,0,0,0,0,3.0,1,8,6
100340,3,7,5,1,5,0.0,0,19,0
100341,4,0,0,0,0,0.0,3,13,6
100342,3,8,2,2,2,2.0,3,20,2
100343,4,1,0,0,0,1.0,9,9,4
100344,1,5,1,2,2,0.0,1,15,3
100345,5,12,8,3,3,1.0,6,23,2
100346,4,2,1,1,1,0.0,2,7,5
100347,3,3,1,1,2,0.0,6,5,5
100348,5,3,1,1,2,3.0,6,3,4
100349,5,0,0,0,0,0.0,0,10,4
100350,4,4,3,0,2,0.0,5,11,6
100351,4,6,3,1,4,2.0,3,15,2
100352,2,12,7,6,1,2.0,7,14,2
100353,2,9,3,1,2,0.0,7,21,0
100354,5,3,2,1,1,2.0,2,9,3
100355,2,6,5,2,3,,3,18,3
100356,3,8,6,3,3,0.0,0,17,3
100357,1,3,1,1,1,1.0,9,8,6
100358,5,0,0,0,0,1.0,1,2,5
100359,1,2,0,0,0,1.0,6,7,5
100360,2,9,5,2,3,1.0,6,20,2
100361,4,4,2,2,2,0.0,8,6,0
100362,5,6,3,2,3,1.0,9,18,1
100363,2,1,0,0,0,0.0,8,15,0
100364,3,16,11,7,7,0.0,8,28,5
100365,5,2,0,0,0,1.0,5,15,6
100366,5,5,2,0,2,0.0,7,13,2
100367,4,0,0,0,0,1.0,8,12,0
100368,5,0,0,0,0,0.0,6,0,2
100369,4,7,3,2,2,0.0,3,19,4
100370,2,17,4,4,16,1.0,3,24,4
100371,3,1,0,0,0,1.0,5,5,1
100372,3,0,0,0,0,2.0,3,14,5
100373,5,2,1,0,0,0.0,6,5,6
100374,5,0,0,0,0,1.0,7,0,4
100375,2,1,0,0,0,1.0,7,9,1
100376,4,6,1,3,1,1.0,7,18,3
100377,3,13,11,1,3,1.0,1,21,2
100378,4,0,0,0,0,0.0,9,12,6
100379,2,4,3,1,2,0.0,1,8,3
100380,3,1,0,0,0,0.0,1,14,3
100381,3,0,0,0,0,0.0,1,10,1
100382,1,1,0,0,0,0.0,3,9,2
100383,2,4,0,2,3,1.0,4,18,1
100384,2,0,0,0,0,1.0,3,9,0
100385,1,2,0,0,0,1.0,4,15,3
100386,4,0,0,0,0,2.0,3,8,2
100387,1,1,0,0,0,1.0,6,7,3
100388,2,1,0,0,0,1.0,9,8,0
100389,4,10,9,4,7,0.0,0,10,5
100390,3,6,4,1,2,0.0,0,9,0
100391,1,10,4,2,6,1.0,1,19,5
100392,4,2,0,0,1,1.0,0,11,2
100393,4,1,0,0,0,0.0,9,15,2
100394,4,2,1,0,0,3.0,9,5,6
100395,1,0,0,0,0,2.0,2,11,0
100396,3,6,5,1,2,0.0,5,14,3
100397,4,2,0,0,0,0.0,9,4,4
100398,1,1,0,0,0,0.0,5,15,3
100399,2,4,1,2,1,0.0,0,15,4
100400,1,2,1,0,0,1.0,5,11,1
100401,1,19,5,8,4,,4,33,2
100402,1,2,0,0,0,0.0,6,11,0
100403,4,4,2,1,2,0.0,5,4,1
100404,1,1,0,0,0,0.0,6,15,3
100405,2,23,17,0,12,2.0,1,33,4
100406,4,2,1,0,1,1.0,0,6,5
100407,2,5,2,0,3,1.0,6,11,2
100408,5,0,0,0,0,0.0,8,11,4
100409,1,6,5,2,1,0.0,1,9,3
100410,4,1,0,0,0,0.0,6,9,6
100411,4,2,0,0,0,0.0,2,7,3
100412,1,10,4,3,2,,5,15,0
100413,3,17,6,3,16,1.0,2,19,1
100414,3,2,1,1,0,2.0,9,11,2
100415,2,9,2,3,5,0.0,4,18,0
100416,1,0,0,0,0,,1,4,4
100417,1,9,3,1,2,1.0,7,18,6
100418,5,4,3,1,0,0.0,7,9,1
100419,3,3,2,0,1,0.0,6,16,2
100420,3,11,7,0,3,1.0,5,14,4
100421,1,9,6,3,2,1.0,0,21,2
100422,2,1,0,0,0,0.0,7,3,2
100423,1,7,4,3,3,1.0,0,11,5
100424,2,0,0,0,0,0.0,7,6,5
100425,3,8,4,2,3,1.0,1,18,6
100426,5,5,4,1,3,0.0,7,10,1
100427,4,0,0,0,0,0.0,9,1,5
100428,3,5,4,1,0,0.0,3,5,4
100429,2,4,2,0,1,0.0,6,8,5
100430,1,4,2,1,0,1.0,4,8,6
100431,3,1,0,0,0,0.0,7,12,6
100432,5,1,0,0,0,2.0,5,12,0
100433,2,7,5,0,0,1.0,4,12,0
100434,1,1,0,0,0,0.0,0,3,0
100435,4,2,1,0,0,0.0,2,2,6
100436,2,5,1,1,2,0.0,9,19,2
100437,1,0,0,0,0,1.0,8,3,3
100438,4,4,2,0,1,0.0,8,7,1
100439,1,4,0,0,3,1.0,4,13,0
100440,4,5,1,1,0,2.0,2,6,1
100441,4,2,0,0,1,1.0,5,15,5
100442,4,2,1,0,0,0.0,4,9,2
100443,1,2,1,0,0,0.0,0,7,1
100444,4,8,6,2,4,1.0,1,19,0
100445,2,0,0,0,0,0.0,4,2,0
100446,5,16,4,6,3,,8,30,6
100447,5,5,2,0,1,0.0,3,5,2
100448,4,10,4,1,9,2.0,8,21,2
100449,5,2,1,0,0,1.0,2,12,4
100450,5,2,0,0,1,,0,4,2
100451,4,11,6,2,8,0.0,5,18,3
100452,4,0,0,0,0,1.0,9,3,3
100453,2,0,0,0,0,0.0,6,2,0
100454,3,1,0,0,0,2.0,3,13,5
100455,1,16,11,8,3,2.0,9,26,2
100456,4,5,1,1,1,0.0,4,8,3
100457,4,4,1,0,1,0.0,3,14,6
100458,5,6,5,3,1,0.0,2,20,3
100459,2,2,1,0,0,1.0,0,5,6
100460,5,7,4,4,6,0.0,5,8,4
100461,4,2,0,0,1,0.0,9,5,5
100462,4,8,5,0,1,0.0,4,18,6
100463,5,1,0,0,0,0.0,0,12,5
100464,4,1,0,0,0,1.0,4,9,2
100465,3,3,1,0,1,1.0,5,6,4
100466,1,2,1,1,0,0.0,9,13,5
100467,1,5,1,1,4,1.0,4,5,5
100468,1,2,0,0,0,0.0,0,2,6
100469,3,1,0,0,0,0.0,4,1,1
100470,4,3,1,1,0,2.0,9,16,4
100471,5,4,2,0,3,0.0,0,8,5
100472,2,0,0,0,0,0.0,2,5,1
100473,4,4,3,0,2,0.0,1,15,1
100474,3,1,0,0,0,1.0,0,6,5
100475,3,2,0,1,0,0.0,3,7,6
100476,1,1,0,0,0,0.0,1,9,2
100477,4,13,4,6,6,0.0,4,13,1
100478,1,5,3,2,3,0.0,9,14,1
100479,2,1,0,0,0,0.0,0,6,4
100480,1,5,4,2,1,0.0,9,17,2
100481,2,9,8,0,5,2.0,0,16,6
100482,3,2,1,0,0,0.0,9,9,2
100483,1,8,2,3,5,0.0,3,19,1
100484,1,0,0,0,0,0.0,6,14,6
100485,5,8,2,2,1,0.0,1,22,4
100486,3,3,2,0,1,0.0,1,5,4
100487,5,1,0,0,0,1.0,0,13,4
100488,2,2,0,0,0,0.0,4,6,4
100489,2,22,15,10,8,1.0,5,31,0
100490,3,7,1,0,1,0.0,5,10,6
100491,2,4,1,1,2,0.0,1,15,5
100492,3,0,0,0,0,,6,0,1
100493,2,2,0,0,0,0.0,5,10,1
100494,4,1,0,0,0,0.0,7,5,1
100495,1,0,0,0,0,0.0,5,1,2
100496,4,3,2,1,2,0.0,8,14,6
100497,3,10,2,5,6,1.0,9,11,2
100498,3,5,2,2,1,0.0,1,15,4
100499,4,1,0,0,0,0.0,6,7,5
100500,1,4,1,0,2,0.0,4,7,6
100501,1,14,6,2,7,0.0,0,14,2
100502,5,6,4,0,3,0.0,2,10,3
100503,2,5,3,1,0,3.0,3,6,6
100504,5,17,14,2,9,3.0,1,31,1
100505,1,8,2,1,6,0.0,6,14,1
100506,4,0,0,0,0,2.0,0,14,0
100507,2,2,1,0,0,0.0,2,10,0
100508,4,16,5,6,10,0.0,8,28,3
100509,5,3,0,1,1,1.0,1,3,0
100510,3,0,0,0,0,3.0,4,11,5
100511,4,3,1,1,2,0.0,3,4,4
100512,5,5,3,2,4,0.0,2,15,4
100513,5,30,20,5,28,0.0,4,35,6
100514,5,1,0,0,0,0.0,5,8,1
100515,3,3,2,0,2,1.0,0,9,4
100516,3,10,3,1,5,2.0,1,18,0
100517,3,2,0,0,0,2.0,0,15,3
100518,2,0,0,0,0,0.0,2,1,5
100519,3,14,11,8,2,0.0,7,25,4
100520,3,3,2,0,2,0.0,7,11,1
100521,3,3,2,-1,1,1.0,3,6,1
100522,4,4,3,0,3,1.0,5,14,5
100523,3,0,0,0,0,0.0,8,14,0
100524,2,13,11,1,9,1.0,6,15,4
100525,5,2,1,0,0,0.0,1,8,0
100526,4,2,0,0,1,0.0,1,6,1
100527,1,0,0,0,0,1.0,2,12,3
100528,3,2,1,0,0,0.0,7,6,4
100529,5,8,7,0,6,0.0,9,19,6
100530,5,8,3,4,5,0.0,8,20,3
100531,4,13,5,7,1,0.0,2,14,5
100532,1,2,1,0,1,1.0,8,7,4
100533,2,6,5,2,1,1.0,9,11,1
100534,5,3,2,0,1,1.0,7,14,4
100535,5,8,5,1,4,1.0,4,11,1
100536,5,6,4,1,0,,9,10,2
100537,5,2,0,0,1,1.0,2,8,1
100538,4,2,1,0,1,1.0,6,15,1
100539,1,1,0,0,0,0.0,8,8,5
100540,5,4,3,1,0,1.0,5,9,4
100541,2,16,4,6,5,0.0,2,20,3
100542,2,1,0,0,0,,4,12,1
100543,3,0,0,0,0,0.0,6,2,4
100544,5,0,0,0,0,0.0,7,6,1
100545,5,7,3,2,3,2.0,3,14,0
100546,5,2,0,0,1,1.0,1,4,0
100547,5,1,0,0,0,0.0,9,5,0
100548,5,2,1,0,1,1.0,1,12,0
100549,2,5,2,0,4,0.0,2,6,3
100550,1,3,2,1,1,1.0,7,12,5
100551,1,6,3,1,2,0.0,0,15,1
100552,3,2,1,1,0,2.0,6,13,0
100553,2,3,1,1,0,0.0,5,6,4
100554,5,0,0,0,0,0.0,1,11,0
100555,1,0,0,0,0,1.0,8,3,2
100556,4,3,1,1,2,0.0,4,14,2
100557,4,1,0,0,0,0.0,1,13,5
100558,4,4,1,1,1,0.0,2,11,3
100559,5,0,0,0,0,0.0,6,2,6
100560,5,0,0,0,0,2.0,6,4,2
100561,3,10,7,1,7,2.0,9,20,4
100562,3,4,1,1,3,0.0,0,8,0
100563,3,6,5,3,4,0.0,9,7,2
100564,4,9,5,5,3,0.0,3,17,2
100565,5,3,1,1,2,0.0,5,6,3
100566,4,7,2,4,1,0.0,7,15,2
100567,3,3,1,1,2,0.0,2,11,0
100568,5,1,0,0,0,0.0,2,2,5
100569,2,2,1,0,0,0.0,7,10,6
100570,1,3,1,0,2,0.0,7,11,5
100571,1,1,0,0,0,0.0,7,2,5
100572,3,2,1,0,1,1.0,0,12,6
100573,4,2,0,1,0,3.0,7,14,1
100574,2,0,0,-1,0,1.0,7,5,0
100575,5,0,0,0,0,3.0,1,8,2
100576,4,0,0,0,0,0.0,8,3,2
100577,3,0,0,-1,0,1.0,6,1,6
100578,4,2,1,0,1,1.0,7,8,2
100579,3,4,1,1,3,0.0,1,18,3
100580,1,1,0,0,0,0.0,3,9,4
100581,1,10,6,2,6,0.0,6,15,0
100582,4,8,3,1,3,0.0,5,18,5
100583,2,3,1,1,0,0.0,6,13,2
100584,5,6,5,3,1,0.0,0,19,6
100585,3,2,1,0,1,0.0,7,5,1
100586,5,0,0,0,0,0.0,6,0,3
100587,1,11,4,2,4,2.0,3,14,4
100588,2,0,0,0,0,0.0,0,2,2
100589,2,14,5,1,9,1.0,7,20,5
100590,5,4,3,0,1,2.0,9,14,0
100591,1,1,0,0,0,1.0,6,13,1
100592,5,3,1,0,1,0.0,7,13,5
100593,4,3,1,0,0,1.0,9,12,3
100594,2,0,0,0,0,0.0,0,4,0
100595,2,2,1,0,1,1.0,4,13,6
100596,4,6,2,3,5,2.0,8,8,0
100597,1,3,2,1,1,0.0,4,16,3
100598,2,1,0,0,0,0.0,9,2,6
100599,3,2,0,0,1,0.0,2,14,0
100600,3,9,7,4,6,0.0,8,10,6
100601,1,3,2,0,1,0.0,8,7,6
