EmployeeID,MonthlyIncome,PercentSalaryHike,StockOptionLevel,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,RelationshipSatisfaction,OverTime
EMP-100076,18113.0,24,2,3,3,3,2,1,2,N
EMP-100077,14069.0,18,0,3,4,1,2,1,1,no
EMP-100078,9903.0,21,0,3,1,2,1,4,1,No
EMP-100079,8661.0,13,2,4,1,1,2,3,2,Y
EMP-100080,14679.0,18,0,4,1,2,3,4,4,Y
EMP-100081,5897.0,25,3,3,3,1,1,3,4,N
EMP-100082,7269.0,16,3,3,2,1,3,4,2,No
EMP-100083,9866.0,12,0,3,3,2,4,2,4,N
EMP-100084,,16,1,3,4,1,1,1,4,FALSE
EMP-100086,16421.0,13,0,3,4,2,1,3,2,FALSE
EMP-100087,10709.0,11,2,3,1,2,3,1,1,no
EMP-100088,19687.0,17,3,3,1,4,1,4,4,TRUE
EMP-100089,15762.0,12,3,3,3,1,4,2,4,no
EMP-100090,19535.0,11,3,3,2,4,2,4,2,N
EMP-100091,,11,0,3,1,2,2,4,3,No
EMP-100092,5841.0,17,3,3,3,4,4,3,2,FALSE
EMP-100093,13709.0,22,0,4,4,1,3,1,1,No
EMP-100094,10188.0,11,0,3,3,4,1,4,3,N
EMP-100095,19320.0,19,1,3,2,2,3,3,3,no
EMP-100096,10793.0,16,2,3,2,1,3,4,3,Yes
EMP-100097,17043.0,14,2,4,2,2,3,4,1,no
EMP-100098,17877.0,22,2,3,1,2,2,4,4,Yes
EMP-100099,17781.0,14,3,3,3,3,1,3,2,No
EMP-100100,6035.0,25,1,4,4,2,2,2,1,N
EMP-100101,17641.0,23,1,3,2,2,2,4,1,No
EMP-100102,7180.0,22,0,3,3,1,2,4,3,Y
EMP-100103,7991.0,24,1,3,1,1,1,3,3,FALSE
EMP-100104,13768.0,15,0,3,4,1,4,1,1,No
EMP-100105,6716.0,12,1,3,4,4,2,2,4,Yes
EMP-100106,10834.0,15,0,3,4,4,2,3,3,No
EMP-100107,17947.0,12,3,3,1,1,2,1,1,FALSE
EMP-100108,9018.0,22,1,4,2,4,1,3,3,No
EMP-100109,9152.0,14,2,3,1,3,1,3,2,N
EMP-100110,21328.0,20,0,3,4,4,3,2,2,no
EMP-100111,13807.0,21,1,3,3,3,2,2,2,yes
EMP-100112,21676.0,24,1,3,4,1,2,2,3,no
EMP-100113,10793.0,15,0,3,3,1,1,2,3,N
EMP-100114,19504.0,16,1,3,1,4,1,1,4,FALSE
EMP-100115,16171.0,16,2,3,1,1,2,4,2,N
EMP-100116,19118.0,19,0,4,1,1,4,3,4,N
EMP-100117,6831.0,14,0,3,3,2,3,2,1,no
EMP-100118,7862.0,23,0,3,1,1,3,4,1,FALSE
EMP-100119,7129.0,24,0,3,2,2,2,1,2,no
EMP-100120,16653.0,15,0,3,4,1,3,2,4,no
EMP-100121,10116.0,16,2,3,2,3,3,3,3,no
EMP-100122,6952.0,14,0,3,3,3,2,4,4,yes
EMP-100123,16663.0,16,2,3,1,1,3,2,1,no
EMP-100124,18581.0,12,2,3,4,3,1,3,4,Yes
EMP-100125,21526.0,22,2,3,1,3,2,4,1,N
EMP-100126,18242.0,23,0,3,1,3,1,3,1,N
EMP-100127,11232.0,17,2,3,4,4,2,1,4,TRUE
EMP-100128,17322.0,13,0,3,4,3,1,2,3,no
EMP-100129,10624.0,24,2,3,2,2,3,2,1,N
EMP-100130,12102.0,20,0,3,2,4,4,3,4,No
EMP-100131,9132.0,14,1,3,2,2,1,4,1,N
EMP-100132,10788.0,19,1,3,2,2,1,2,2,Yes
EMP-100133,11473.0,25,2,3,2,2,4,3,3,No
EMP-100134,14887.0,25,3,3,3,4,4,1,2,No
EMP-100135,21585.0,22,3,3,3,1,1,2,1,no
EMP-100136,6307.0,25,1,3,1,3,1,3,3,no
EMP-100137,19027.0,23,2,3,1,3,1,4,4,No
EMP-100138,12150.0,15,2,3,2,1,2,2,4,TRUE
EMP-100139,15150.0,19,2,3,1,1,1,2,3,No
EMP-100140,8442.0,20,3,3,3,2,1,1,2,No
EMP-100141,10158.0,23,1,3,3,4,4,3,2,No
EMP-100142,7508.0,20,2,3,1,2,4,4,3,TRUE
EMP-100143,10430.0,20,1,3,2,3,2,1,4,no
EMP-100144,22227.0,22,1,3,3,1,2,1,3,FALSE
EMP-100145,13118.0,20,0,3,4,3,3,1,2,no
EMP-100146,17941.0,16,3,3,4,1,1,3,1,no
EMP-100147,10167.0,18,1,4,1,4,1,3,4,N
EMP-100148,13833.0,15,0,3,2,2,4,2,3,No
EMP-100149,20607.0,15,3,3,1,3,3,3,1,No
EMP-100150,14989.0,13,2,3,2,4,1,1,2,FALSE
EMP-100151,11131.0,17,2,3,2,3,3,3,4,No
EMP-100152,14444.0,12,0,3,4,1,2,4,3,No
EMP-100153,17448.0,21,2,3,3,3,1,2,2,no
EMP-100154,9691.0,22,0,4,3,4,1,1,3,yes
EMP-100155,14423.0,13,0,3,1,4,2,2,3,yes
EMP-100156,22046.0,25,2,3,1,2,1,3,4,FALSE
EMP-100157,9535.0,12,3,3,2,3,2,2,2,No
EMP-100158,18714.0,25,0,3,3,1,2,2,2,TRUE
EMP-100159,7231.0,23,3,3,2,3,3,3,1,FALSE
EMP-100160,9210.0,18,3,3,4,2,4,2,2,no
EMP-100161,15335.0,14,0,3,4,1,4,3,2,no
EMP-100162,5941.0,20,3,3,2,1,2,1,4,FALSE
EMP-100163,17473.0,18,0,3,2,2,3,2,1,N
EMP-100164,22643.0,18,2,3,2,1,2,4,4,Yes
EMP-100165,13459.0,18,2,3,2,4,3,4,2,N
EMP-100166,7475.0,18,2,3,2,4,3,1,1,N
EMP-100167,12970.0,18,2,3,4,1,4,3,4,N
EMP-100168,13617.0,22,2,3,4,3,4,3,1,FALSE
EMP-100169,20400.0,19,3,3,4,1,3,2,2,Y
EMP-100170,9037.0,12,3,3,1,3,4,2,1,N
EMP-100171,8843.0,19,3,3,4,2,3,4,1,no
EMP-100172,14831.0,18,1,3,3,4,1,4,1,N
EMP-100173,8937.0,21,1,3,3,4,2,3,2,Yes
EMP-100174,8959.0,20,0,3,2,2,4,4,2,no
EMP-100175,15280.0,11,1,3,4,2,2,3,1,Y
EMP-100176,15029.0,24,2,3,2,4,4,1,4,No
EMP-100177,6012.0,15,2,3,2,2,2,1,4,No
EMP-100178,15781.0,21,2,3,3,1,2,4,2,N
EMP-100179,5140.0,12,0,3,3,1,4,2,3,N
EMP-100180,10811.0,20,0,3,2,3,4,4,4,No
EMP-100181,10477.0,15,0,4,3,3,4,4,1,Yes
EMP-100182,14838.0,23,0,4,2,3,4,4,3,FALSE
EMP-100183,,25,3,3,2,1,3,2,2,no
EMP-100184,17414.0,18,0,3,2,4,4,4,4,FALSE
EMP-100185,13818.0,19,0,4,1,3,4,2,3,Yes
EMP-100186,10783.0,19,1,3,3,1,4,4,2,N
EMP-100187,22359.0,11,3,4,3,4,1,2,2,no
EMP-100188,17350.0,17,2,3,4,2,2,2,1,no
EMP-100189,6940.0,22,1,3,3,1,4,2,4,N
EMP-100190,6557.0,21,0,4,4,2,4,2,3,N
EMP-100191,21440.0,18,2,3,2,3,2,2,1,FALSE
EMP-100192,7558.0,20,2,3,1,4,2,1,4,Yes
EMP-100193,9989.0,13,2,3,2,1,3,3,3,N
EMP-100194,13493.0,23,1,4,2,3,2,3,2,no
EMP-100195,13297.0,16,3,3,2,3,2,2,2,no
EMP-100196,16473.0,21,3,4,4,4,1,3,4,FALSE
EMP-100197,,13,2,3,1,2,3,2,1,No
EMP-100198,5952.0,19,0,4,2,3,1,4,3,No
EMP-100199,6422.0,23,3,3,4,4,2,1,3,N
EMP-100200,16199.0,13,3,3,2,4,4,4,2,FALSE
EMP-100201,14633.0,12,0,3,1,1,3,4,4,Y
EMP-100202,6304.0,19,1,3,2,3,2,2,1,FALSE
EMP-100203,8689.0,25,1,4,2,2,2,4,2,Y
EMP-100204,9971.0,21,0,3,3,2,4,1,2,Y
EMP-100205,16696.0,23,1,3,4,3,4,4,1,N
EMP-100206,9332.0,24,2,3,1,2,4,1,3,No
EMP-100207,5922.0,18,3,3,4,4,3,1,3,N
EMP-100208,16999.0,18,1,3,3,4,1,2,4,N
EMP-100209,18206.0,12,2,3,2,3,3,1,2,TRUE
EMP-100210,8385.0,16,2,3,1,2,4,4,4,Y
EMP-100211,16041.0,23,2,3,1,4,3,2,3,TRUE
EMP-100212,17896.0,23,2,3,4,3,4,1,1,no
EMP-100213,16730.0,15,2,4,2,4,1,1,3,Y
EMP-100214,22778.0,24,0,3,3,3,3,3,3,FALSE
EMP-100215,14887.0,22,3,3,2,1,1,2,2,N
EMP-100217,16625.0,15,0,3,1,3,4,1,4,yes
EMP-100218,8331.0,14,0,3,1,1,3,3,1,no
EMP-100219,19424.0,19,2,3,2,1,3,4,2,No
EMP-100220,10432.0,22,1,3,2,2,1,4,1,No
EMP-100221,10367.0,11,3,3,2,1,4,1,4,FALSE
EMP-100222,9692.0,16,1,3,2,2,1,3,4,FALSE
EMP-100223,9095.0,17,3,3,3,1,1,3,3,TRUE
EMP-100224,10824.0,25,2,3,3,1,1,2,4,N
EMP-100225,10590.0,22,1,3,3,4,1,4,3,no
EMP-100226,18491.0,16,3,3,3,3,3,4,2,no
EMP-100227,8382.0,15,3,3,4,1,2,2,1,N
EMP-100228,17298.0,22,2,3,1,3,3,4,3,No
EMP-100229,14898.0,14,1,3,1,3,4,3,3,No
EMP-100230,11067.0,15,2,3,4,4,2,3,2,N
EMP-100231,12116.0,19,1,3,4,3,1,4,4,no
EMP-100232,9797.0,15,1,4,3,3,3,2,3,N
EMP-100233,20809.0,20,3,3,2,1,2,1,4,FALSE
EMP-100234,16743.0,25,0,4,1,4,1,1,3,no
EMP-100235,6742.0,18,1,3,4,3,3,1,4,N
EMP-100236,14200.0,17,1,4,2,1,2,1,3,N
EMP-100237,13611.0,14,2,3,3,4,3,3,1,Yes
EMP-100238,19775.0,20,1,3,4,1,2,1,1,Yes
EMP-100239,12203.0,15,1,3,1,4,4,3,1,no
EMP-100240,7315.0,17,1,3,1,4,3,3,3,N
EMP-100241,14565.0,16,1,3,1,2,3,1,4,TRUE
EMP-100242,11419.0,23,1,3,4,2,2,1,2,No
EMP-100243,12091.0,13,0,3,1,2,4,1,2,No
EMP-100244,18367.0,20,3,3,3,3,3,4,2,no
EMP-100245,19305.0,25,1,3,1,1,4,4,1,TRUE
EMP-100246,21071.0,13,2,3,3,4,4,2,1,FALSE
EMP-100247,21173.0,12,2,3,1,1,3,3,1,FALSE
EMP-100248,8708.0,24,1,4,3,3,1,1,4,No
EMP-100249,9044.0,13,1,3,4,2,2,4,1,FALSE
EMP-100250,21695.0,21,1,4,3,2,3,2,4,no
EMP-100251,19279.0,20,0,3,4,1,4,3,4,Y
EMP-100252,10790.0,23,3,4,2,1,2,3,4,FALSE
EMP-100253,12553.0,11,2,3,3,4,3,3,3,N
EMP-100254,9208.0,23,0,3,4,1,2,4,2,Yes
EMP-100255,13717.0,19,0,3,2,4,2,1,4,N
EMP-100256,14687.0,12,1,3,1,4,4,1,2,No
EMP-100257,8114.0,22,3,3,2,2,1,3,4,N
EMP-100258,7781.0,23,1,3,3,1,1,3,4,yes
EMP-100259,22867.0,13,2,3,2,2,2,2,1,FALSE
EMP-100260,15700.0,15,3,3,1,4,4,2,2,Y
EMP-100261,10120.0,20,1,3,2,2,4,3,4,N
EMP-100262,12319.0,22,2,4,3,2,3,2,2,No
EMP-100263,10171.0,14,0,3,3,4,2,4,1,N
EMP-100264,20875.0,23,2,3,4,3,3,3,4,no
EMP-100265,12002.0,15,2,3,1,3,4,2,1,N
EMP-100266,14876.0,16,2,3,1,1,2,3,4,No
EMP-100267,19541.0,15,3,4,2,2,1,1,1,no
EMP-100268,16606.0,20,0,3,1,1,1,4,1,yes
EMP-100269,6802.0,11,3,3,3,2,3,3,3,N
EMP-100270,12161.0,16,0,3,2,1,2,1,4,N
EMP-100271,14347.0,19,1,3,4,1,4,3,4,No
EMP-100272,6462.0,13,1,3,2,4,3,1,4,FALSE
EMP-100273,13876.0,25,2,3,2,3,1,2,2,N
EMP-100274,6944.0,12,2,3,4,3,4,1,3,no
EMP-100275,10085.0,16,3,3,2,3,2,4,2,Y
EMP-100276,21195.0,22,0,3,1,4,1,4,4,TRUE
EMP-100277,17401.0,24,0,3,2,3,4,2,3,N
EMP-100278,5236.0,13,0,3,2,4,1,3,1,no
EMP-100279,6202.0,14,2,3,2,2,2,4,3,N
EMP-100280,6629.0,16,2,3,3,4,3,2,1,FALSE
EMP-100281,9736.0,22,0,3,3,1,4,4,4,no
EMP-100282,6623.0,23,2,3,1,1,4,2,4,No
EMP-100283,22483.0,22,0,3,4,2,2,4,1,no
EMP-100284,17830.0,16,3,4,3,2,1,2,3,yes
EMP-100285,18553.0,22,1,3,3,1,1,4,2,N
EMP-100286,10888.0,12,0,3,1,3,1,3,3,no
EMP-100287,19031.0,23,2,3,1,3,4,1,1,N
EMP-100288,12808.0,23,3,3,4,3,4,4,1,N
EMP-100289,12289.0,13,2,3,2,2,1,2,2,no
EMP-100290,15368.0,23,2,4,2,1,4,3,2,FALSE
EMP-100291,8413.0,19,2,3,4,4,3,4,2,no
EMP-100292,6125.0,12,0,3,4,2,2,2,1,N
EMP-100293,,13,3,3,4,1,2,1,4,FALSE
EMP-100294,17210.0,19,0,4,1,3,4,2,3,Y
EMP-100295,14957.0,14,1,3,2,3,3,4,2,FALSE
EMP-100296,8262.0,25,0,3,4,3,3,2,1,no
EMP-100297,14136.0,11,1,3,4,1,1,2,3,no
EMP-100298,15327.0,21,3,3,2,3,2,1,2,N
EMP-100299,8210.0,23,3,3,2,1,2,4,4,FALSE
EMP-100300,11862.0,12,0,4,1,2,2,4,3,N
EMP-100301,9350.0,25,0,3,3,4,4,1,3,FALSE
EMP-100302,11139.0,13,2,3,3,3,3,3,1,N
EMP-100303,16675.0,19,1,4,1,2,1,2,1,No
EMP-100304,22090.0,25,2,4,1,2,4,2,1,N
EMP-100305,17252.0,19,2,3,2,1,1,2,4,FALSE
EMP-100306,10763.0,21,3,3,1,2,4,4,3,FALSE
EMP-100307,8209.0,25,0,3,1,1,2,4,2,FALSE
EMP-100308,13586.0,16,3,4,4,1,1,2,4,N
EMP-100309,14420.0,24,0,3,1,2,3,4,2,N
EMP-100310,10999.0,21,3,3,1,1,3,1,2,FALSE
EMP-100311,15064.0,16,3,3,4,1,4,1,1,no
EMP-100312,6760.0,13,3,3,2,1,2,4,2,No
EMP-100313,18113.0,15,1,3,2,2,4,2,2,N
EMP-100314,14887.0,25,3,3,1,4,1,2,4,No
EMP-100315,12732.0,21,1,3,1,1,3,2,1,N
EMP-100316,7116.0,14,3,3,3,3,3,2,2,Y
EMP-100317,20444.0,20,0,3,4,2,3,4,2,Y
EMP-100318,5914.0,20,1,3,3,2,3,3,2,N
EMP-100319,14311.0,22,0,3,1,1,1,3,3,FALSE
EMP-100320,12759.0,19,0,3,3,2,3,2,3,Y
EMP-100321,17960.0,19,0,3,3,3,4,2,1,FALSE
EMP-100322,7780.0,11,1,4,2,4,3,2,4,yes
EMP-100323,11194.0,18,2,3,4,2,1,3,1,No
EMP-100324,14013.0,25,1,3,2,2,2,1,3,TRUE
EMP-100325,12972.0,19,2,3,2,2,2,3,1,N
EMP-100326,13523.0,15,1,3,3,1,3,4,4,no
EMP-100327,20650.0,14,3,3,4,3,2,3,1,N
EMP-100328,5994.0,20,2,3,1,4,1,4,2,N
EMP-100329,15676.0,14,3,3,4,3,3,2,4,N
EMP-100330,18995.0,12,2,3,2,3,1,4,4,FALSE
EMP-100331,18346.0,19,1,4,3,2,2,2,4,yes
EMP-100332,8404.0,15,1,3,1,4,2,1,1,FALSE
EMP-100333,18881.0,21,2,3,2,3,3,2,1,no
EMP-100334,5352.0,13,3,3,3,4,2,2,2,FALSE
EMP-100335,15691.0,16,0,3,2,1,3,1,4,Y
EMP-100336,10571.0,19,2,3,3,2,3,2,2,FALSE
EMP-100337,13114.0,19,2,3,4,1,4,2,4,No
EMP-100338,13048.0,22,3,3,2,4,4,2,3,FALSE
EMP-100339,17705.0,23,0,3,4,2,4,3,1,TRUE
EMP-100340,16412.0,15,2,3,4,1,1,4,2,no
EMP-100341,16947.0,18,0,3,3,2,2,2,1,FALSE
EMP-100342,16222.0,14,0,3,1,1,2,3,1,Yes
EMP-100343,15625.0,15,1,3,4,3,4,2,3,FALSE
EMP-100344,8311.0,17,3,3,2,2,3,4,3,Yes
EMP-100345,18414.0,17,2,3,2,4,3,2,4,No
EMP-100346,18474.0,23,2,3,3,2,3,4,3,no
EMP-100347,14269.0,17,0,3,4,4,3,3,4,N
EMP-100348,18086.0,18,2,4,1,1,1,3,3,N
EMP-100349,21323.0,21,0,4,1,1,2,2,3,FALSE
EMP-100350,17877.0,15,2,3,2,4,4,1,2,FALSE
EMP-100351,19158.0,25,3,3,3,1,1,4,3,no
EMP-100352,9968.0,11,2,3,4,2,2,2,2,yes
EMP-100353,11301.0,21,0,3,2,1,1,3,3,no
EMP-100354,21724.0,19,0,4,3,4,3,2,2,FALSE
EMP-100356,13688.0,25,2,3,2,3,1,2,4,FALSE
EMP-100357,7350.0,17,0,3,3,4,3,4,3,No
EMP-100358,16192.0,22,1,3,1,1,3,3,2,Yes
EMP-100359,7093.0,16,1,4,3,4,4,1,3,TRUE
EMP-100360,10305.0,23,2,4,2,1,4,1,2,yes
EMP-100361,14992.0,23,3,3,4,1,2,3,2,FALSE
EMP-100362,20617.0,15,2,3,3,3,4,3,3,Yes
EMP-100363,10538.0,15,3,3,4,1,4,2,4,no
EMP-100364,15555.0,25,2,3,2,4,2,3,2,No
EMP-100365,20572.0,13,0,4,1,4,1,3,1,FALSE
EMP-100366,19046.0,20,2,3,3,4,1,4,3,no
EMP-100367,15108.0,11,3,3,1,1,1,2,1,N
EMP-100368,19990.0,16,3,3,4,4,3,4,2,no
EMP-100369,17052.0,18,2,3,4,2,2,2,2,FALSE
EMP-100370,11800.0,24,2,3,1,2,1,2,3,FALSE
EMP-100371,13251.0,12,1,3,2,4,4,1,4,yes
EMP-100372,15473.0,18,2,3,4,1,4,1,1,no
EMP-100373,20289.0,18,2,3,2,4,4,3,4,FALSE
EMP-100374,15977.0,20,0,3,1,2,2,2,1,no
EMP-100375,10993.0,18,3,3,2,1,2,3,4,yes
EMP-100376,20023.0,20,1,3,4,4,4,4,3,FALSE
EMP-100377,14499.0,25,0,4,1,1,3,3,1,N
EMP-100378,19098.0,13,2,4,2,4,3,4,3,No
EMP-100379,9999.0,20,3,3,2,3,1,1,4,No
EMP-100380,13613.0,18,2,3,3,1,1,1,4,Y
EMP-100381,12627.0,21,2,3,4,2,1,4,4,N
EMP-100382,7100.0,25,2,3,3,2,1,4,3,Yes
EMP-100383,10163.0,22,2,4,2,2,1,4,2,N
EMP-100384,8797.0,22,3,3,4,2,2,3,2,no
EMP-100385,6436.0,24,0,3,1,4,2,4,1,No
EMP-100386,15247.0,14,2,3,1,4,3,2,3,FALSE
EMP-100387,6335.0,13,2,3,1,1,3,4,3,Yes
EMP-100388,10014.0,21,1,4,2,3,2,1,3,Y
EMP-100389,15474.0,19,1,3,2,3,3,4,4,No
EMP-100390,15093.0,18,3,3,1,1,4,1,3,no
EMP-100391,7481.0,20,2,3,3,2,3,1,2,no
EMP-100392,16325.0,23,2,3,3,3,4,3,1,Y
EMP-100393,15064.0,23,2,3,4,3,4,4,2,FALSE
EMP-100394,14758.0,12,3,3,4,1,1,1,3,yes
EMP-100395,6068.0,23,3,3,1,2,3,2,1,N
EMP-100396,14026.0,23,2,4,2,4,4,4,1,No
EMP-100397,16968.0,25,2,3,2,4,3,4,3,No
EMP-100398,6815.0,23,3,3,4,3,3,1,3,yes
EMP-100399,10275.0,24,2,3,1,4,2,3,2,FALSE
EMP-100400,6001.0,18,0,3,4,1,2,3,2,Yes
EMP-100401,10643.0,21,0,4,3,3,1,4,4,Yes
EMP-100402,7609.0,21,3,3,1,3,3,4,4,No
EMP-100403,13712.0,13,0,4,1,2,2,3,4,no
EMP-100404,7195.0,20,1,3,1,4,4,3,3,TRUE
EMP-100405,14616.0,22,2,4,3,2,4,2,3,N
EMP-100406,15501.0,24,1,3,1,3,1,4,4,N
EMP-100407,10300.0,16,1,3,4,4,4,4,4,No
EMP-100408,18959.0,15,1,3,3,2,3,4,2,N
EMP-100409,6975.0,18,0,3,2,4,4,3,4,No
EMP-100410,18729.0,19,2,3,4,3,1,1,4,FALSE
EMP-100411,18548.0,21,2,3,4,3,1,2,1,N
EMP-100412,,17,3,3,4,3,4,3,4,Yes
EMP-100413,13967.0,16,1,4,3,1,3,3,1,no
EMP-100414,13397.0,16,0,3,4,2,2,2,4,yes
EMP-100415,10584.0,11,1,4,3,2,3,4,1,No
EMP-100416,7080.0,15,1,3,1,3,3,1,4,No
EMP-100417,8349.0,24,2,3,2,2,3,2,2,No
EMP-100418,19280.0,18,3,3,1,3,4,1,3,No
EMP-100419,11967.0,16,0,4,4,2,2,4,1,Y
EMP-100420,13864.0,22,2,3,3,4,3,1,3,TRUE
EMP-100421,9413.0,11,1,3,3,2,2,4,2,No
EMP-100422,9324.0,25,2,3,1,3,1,3,4,No
EMP-100423,6351.0,25,1,3,4,2,2,4,4,No
EMP-100424,8240.0,15,0,4,2,4,4,2,2,no
EMP-100425,13638.0,23,2,3,3,4,1,2,3,FALSE
EMP-100426,22171.0,21,2,3,3,4,1,4,3,no
EMP-100427,17717.0,22,2,3,4,3,3,4,3,Yes
EMP-100428,14396.0,15,2,3,3,1,2,3,3,No
EMP-100429,10538.0,22,2,3,4,3,1,3,1,TRUE
EMP-100430,6776.0,13,0,3,4,4,1,4,3,no
EMP-100431,13908.0,18,3,3,2,2,2,1,1,No
EMP-100432,,25,0,3,4,4,2,3,2,No
EMP-100433,10982.0,19,2,3,1,1,1,2,4,no
EMP-100434,5912.0,16,1,3,2,1,1,3,1,FALSE
EMP-100435,16328.0,16,1,4,4,4,2,3,3,No
EMP-100436,9910.0,12,2,3,4,3,4,3,4,no
EMP-100437,5634.0,20,3,3,2,1,2,3,1,Y
EMP-100438,17766.0,12,2,3,3,4,4,4,4,FALSE
EMP-100439,8139.0,16,0,3,2,3,1,3,2,yes
EMP-100440,16207.0,22,3,3,3,2,3,1,3,N
EMP-100441,14697.0,18,3,3,2,3,2,3,2,Y
EMP-100442,18478.0,12,0,4,2,1,1,3,4,Y
EMP-100443,6936.0,19,3,3,1,3,1,2,2,Yes
EMP-100444,17126.0,23,2,3,2,3,3,3,3,TRUE
EMP-100445,9409.0,22,2,3,1,2,2,2,1,no
EMP-100446,21634.0,24,1,3,4,4,1,2,2,N
EMP-100447,18901.0,19,0,3,3,3,4,4,3,Yes
EMP-100448,19887.0,25,3,3,3,2,3,2,4,no
EMP-100449,17912.0,24,3,3,1,1,4,2,2,FALSE
EMP-100450,16723.0,14,3,3,3,4,2,1,1,N
EMP-100451,14855.0,14,2,3,3,1,4,1,2,No
