EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,DistanceFromHome,Education,EducationField,BusinessTravel,Attrition
E100086,18,Male,Married,research & development ,Manager,19,3,Medical,Non-Travel,Yes
E100087,25,Male,Single,R&D,Laboratory Technician,22,2,Technical Degree,Travel_Rarely,Yes
E100088,41,Male,Divorced,human resources,Manager,15,3,Life Sciences,Travel_Frequently,No
E100089,28,Female,Divorced,sales ,Sales Representative,16,4,Technical Degree,Travel_Frequently,No
E100090,34,Male,Divorced,Research & Development,Laboratory Technician,15,2,Human Resources,Travel_Rarely,No
E100091,25,Female,Divorced,Sales,Sales Executive,25,1,Life Sciences,Travel_Frequently,No
E100092,52,Male,Married,R&D,Manufacturing Director,2,1,Human Resources,Travel_Rarely,No
E100093,52,Female,Divorced,Research & Development,Laboratory Technician,11,5,Human Resources,Travel_Rarely,Yes
E100094,50,Male,Single,research & development ,Manufacturing Director,1,5,Other,Travel_Rarely,No
E100095,22,Female,Married,research & development ,Research Scientist,15,4,Marketing,Travel_Rarely,No
E100096,59,Female,Single,R&D,Healthcare Representative,26,1,Other,Travel_Rarely,No
E100097,56,Female,Single,research & development ,Manager,19,1,Technical Degree,Travel_Rarely,No
E100098,58,Female,Single,R&D,Healthcare Representative,4,1,Technical Degree,Travel_Frequently,No
E100099,45,Female,Married,Research & Development,Manager,11,1,Marketing,Travel_Rarely,No
E100100,24,Female,Divorced,HR,Manager,5,3,Other,Travel_Rarely,Yes
E100101,26,Male,Married,SALES,Sales Executive,3,2,Technical Degree,Travel_Rarely,No
E100102,25,Male,Single,sales ,Sales Executive,13,2,Other,Travel_Rarely,No
E100103,29,Female,Divorced,Research & Development,Manager,10,4,Marketing,Travel_Rarely,Yes
E100104,51,Female,Married,Human Resources,Manager,11,3,Life Sciences,Travel_Frequently,No
E100105,50,Female,Married,R&D,Healthcare Representative,18,1,Human Resources,Travel_Rarely,No
E100106,40,Male,Married,sales ,Sales Executive,2,1,Human Resources,Non-Travel,No
E100107,41,Male,Single,R&D,Healthcare Representative,7,5,Other,Travel_Rarely,No
E100108,54,Male,Married,research & development ,Healthcare Representative,9,5,Technical Degree,Travel_Rarely,No
E100109,52,Female,Divorced,Sales,Manager,10,4,Other,Travel_Rarely,No
E100110,57,Male,Single,Research & Development,Research Scientist,18,1,Other,Travel_Rarely,No
E100111,39,Male,Married,human resources,Human Resources,23,4,Medical,Travel_Rarely,No
E100112,44,Male,Divorced,research & development ,Healthcare Representative,7,3,Human Resources,Non-Travel,No
E100113,52,,Married,research & development ,Laboratory Technician,27,2,Marketing,Non-Travel,No
E100114,18,,Single,Research & Development,Healthcare Representative,7,1,Other,Travel_Rarely,Yes
E100115,52,,Single,SALES,Manager,3,3,Medical,Travel_Rarely,Yes
E100116,54,Female,Single,Research & Development,Manager,12,1,Medical,Travel_Rarely,No
E100117,31,Male,Married,research & development ,Manufacturing Director,7,5,Human Resources,Travel_Rarely,Yes
E100118,20,Male,Married,research & development ,Laboratory Technician,17,4,Human Resources,Travel_Frequently,Yes
E100119,18,Male,Single,research & development ,Healthcare Representative,26,5,Human Resources,Travel_Rarely,Yes
E100120,22,Male,Divorced,Research & Development,Research Scientist,1,2,Marketing,Travel_Frequently,No
E100121,43,Male,Married,R&D,Healthcare Representative,5,5,Medical,Travel_Frequently,Yes
E100122,31,Male,Single,sales ,Sales Representative,16,1,Technical Degree,Travel_Frequently,Yes
E100123,56,Female,Married,research & development ,Research Scientist,15,5,Marketing,Travel_Frequently,Yes
E100124,44,Male,Married,human resources,Human Resources,2,1,Life Sciences,Travel_Rarely,Yes
E100125,26,Female,Single,R&D,Manager,9,2,Other,Travel_Rarely,No
E100126,32,Female,Single,HR,Human Resources,7,5,Human Resources,Travel_Rarely,No
E100127,32,Female,Divorced,sales ,Manager,4,4,Medical,Travel_Rarely,No
E100128,43,Male,Married,research & development ,Healthcare Representative,20,4,Other,Travel_Rarely,No
E100129,59,Male,Married,Research & Development,Manufacturing Director,18,4,Marketing,Travel_Rarely,No
E100130,30,Male,Married,R&D,Laboratory Technician,21,5,Life Sciences,Travel_Rarely,No
E100131,49,Male,Single,Research & Development,Manager,4,5,Marketing,Travel_Rarely,No
E100132,56,,Single,Research & Development,Manufacturing Director,28,5,Marketing,Travel_Frequently,Yes
E100133,49,Male,Married,SALES,Sales Executive,13,1,Technical Degree,Travel_Frequently,No
E100134,21,,Single,R&D,Healthcare Representative,1,2,Other,Travel_Rarely,No
E100135,47,Female,Single,sales ,Manager,28,4,Technical Degree,Non-Travel,No
E100136,54,Female,Divorced,R&D,Manager,24,1,Marketing,Travel_Rarely,No
E100137,40,Male,Divorced,Sales,Manager,3,4,Life Sciences,Travel_Rarely,No
E100138,56,Male,Divorced,Sales,Sales Executive,16,1,Medical,Travel_Frequently,No
E100139,32,Male,Divorced,R&D,Manufacturing Director,22,5,Medical,Travel_Rarely,No
E100140,60,Male,Single,research & development ,Laboratory Technician,4,4,Other,Travel_Rarely,No
E100141,46,Male,Divorced,Research & Development,Healthcare Representative,25,5,Human Resources,Travel_Rarely,No
E100142,53,Male,Single,R&D,Manager,23,4,Human Resources,Travel_Rarely,No
E100143,30,Male,Divorced,R&D,Research Scientist,25,3,Medical,Travel_Rarely,No
E100144,49,Male,Divorced,R&D,Healthcare Representative,16,1,Marketing,Travel_Rarely,No
E100145,24,Male,Married,research & development ,Manufacturing Director,26,3,Marketing,Travel_Frequently,No
E100146,39,Male,Divorced,Sales,Sales Representative,19,1,Technical Degree,Non-Travel,No
E100147,45,Male,Married,Research & Development,Laboratory Technician,1,2,Other,Travel_Rarely,Yes
E100148,19,Female,Single,HR,Human Resources,5,4,Technical Degree,Travel_Rarely,No
E100149,59,Female,Married,Research & Development,Healthcare Representative,19,2,Human Resources,Travel_Rarely,No
E100150,23,Male,Married,Sales,Sales Representative,22,2,Medical,Travel_Frequently,No
E100151,45,Male,Single,sales ,Manager,24,1,Marketing,Travel_Rarely,No
E100152,45,Male,Married,Sales,Sales Executive,11,3,Medical,Travel_Frequently,Yes
E100153,37,Female,Divorced,R&D,Manager,13,5,Life Sciences,Travel_Frequently,No
E100154,47,Female,Single,research & development ,Healthcare Representative,20,1,Medical,Travel_Frequently,Yes
E100155,28,Male,Divorced,sales ,Manager,5,5,Life Sciences,Travel_Rarely,Yes
E100156,45,Female,Divorced,human resources,Human Resources,21,2,Technical Degree,Travel_Rarely,No
E100157,42,Male,Divorced,research & development ,Healthcare Representative,4,5,,Travel_Rarely,No
E100158,56,Male,Divorced,Research & Development,Laboratory Technician,4,3,Human Resources,Travel_Rarely,No
E100159,50,Female,Married,Research & Development,Manufacturing Director,4,1,Medical,Travel_Rarely,No
E100160,18,Female,Divorced,sales ,Sales Representative,4,3,Medical,Travel_Rarely,No
E100161,44,Female,Married,R&D,Manager,20,3,Life Sciences,Travel_Rarely,No
E100162,30,Female,Single,Research & Development,Research Scientist,21,1,Technical Degree,Travel_Frequently,No
E100163,58,Male,Married,R&D,Manager,18,3,Life Sciences,Travel_Rarely,No
E100164,20,Female,Married,R&D,Manager,18,4,,Non-Travel,No
E100165,56,Male,Single,sales ,Sales Executive,16,4,Life Sciences,Non-Travel,No
E100166,23,Female,Married,Human Resources,Manager,9,4,Technical Degree,Travel_Rarely,No
E100167,25,Male,Married,Sales,Sales Executive,18,5,Life Sciences,Non-Travel,No
E100168,44,Female,Single,research & development ,Research Scientist,22,3,Technical Degree,Travel_Rarely,No
E100169,26,Male,Married,HR,Human Resources,2,1,Other,Travel_Rarely,No
E100170,54,Female,Married,sales ,Sales Executive,21,1,Life Sciences,Travel_Rarely,No
E100171,50,Male,Married,research & development ,Manufacturing Director,4,5,Medical,Travel_Rarely,Yes
E100172,59,Female,Single,Sales,Sales Representative,12,1,Human Resources,Non-Travel,No
E100173,41,Male,Single,research & development ,Healthcare Representative,7,4,Other,Travel_Rarely,No
E100174,32,Male,Married,Research & Development,Manager,15,3,Other,Travel_Rarely,No
E100175,49,Male,Divorced,research & development ,Laboratory Technician,7,1,Life Sciences,Travel_Rarely,Yes
E100176,49,Male,Single,human resources,Human Resources,29,1,Human Resources,Travel_Rarely,No
E100177,41,Female,Married,R&D,Research Scientist,22,2,Medical,Travel_Frequently,No
E100178,58,Male,Single,R&D,Healthcare Representative,26,2,Other,Travel_Frequently,Yes
E100179,29,Female,Married,R&D,Laboratory Technician,21,2,Medical,Travel_Rarely,No
E100180,56,Male,Divorced,HR,Manager,17,3,Technical Degree,Travel_Rarely,No
E100181,19,Male,Married,sales ,Sales Representative,16,4,Human Resources,Travel_Rarely,No
E100182,20,Female,Single,human resources,Human Resources,28,4,Marketing,Travel_Frequently,No
E100183,54,Female,Married,Sales,Sales Executive,19,4,Technical Degree,Travel_Rarely,No
E100184,34,Male,Single,Research & Development,Manager,9,3,Human Resources,Non-Travel,No
E100185,19,Male,Married,sales ,Manager,14,3,Life Sciences,Travel_Frequently,Yes
E100186,19,Female,Married,sales ,Manager,17,2,Life Sciences,Travel_Rarely,Yes
E100187,45,Male,Single,research & development ,Manager,5,1,Medical,Travel_Rarely,No
E100188,40,Female,Single,R&D,Laboratory Technician,2,5,Other,Travel_Rarely,Yes
E100189,54,Female,Married,R&D,Manufacturing Director,20,5,Marketing,Non-Travel,No
E100190,49,,Divorced,SALES,Manager,16,1,Life Sciences,Travel_Frequently,No
E100191,50,Male,Divorced,Research & Development,Manager,14,2,Human Resources,Travel_Rarely,No
E100192,18,Female,Single,HR,Human Resources,14,1,Other,Travel_Rarely,Yes
E100193,36,Male,Married,research & development ,Laboratory Technician,27,1,Other,Travel_Rarely,No
E100194,19,Male,Married,SALES,Sales Executive,1,5,,Travel_Rarely,No
E100195,43,Male,Married,research & development ,Research Scientist,3,2,,Travel_Rarely,No
E100196,49,Male,Married,Sales,Sales Representative,26,3,Life Sciences,Travel_Rarely,No
E100197,23,Female,Divorced,research & development ,Laboratory Technician,7,5,Human Resources,Travel_Rarely,No
E100198,49,Female,Divorced,Research & Development,Healthcare Representative,26,3,Human Resources,Travel_Rarely,No
E100199,21,Female,Married,Research & Development,Healthcare Representative,15,2,Medical,Travel_Rarely,No
E100200,28,Male,Married,R&D,Laboratory Technician,19,1,Marketing,Travel_Rarely,No
E100201,34,Male,Divorced,Research & Development,Healthcare Representative,20,4,Medical,Travel_Rarely,No
E100202,55,Male,Single,R&D,Laboratory Technician,2,4,,Travel_Rarely,No
E100203,41,Female,Married,Research & Development,Research Scientist,19,2,Human Resources,Travel_Rarely,No
E100204,22,Male,Married,research & development ,Laboratory Technician,9,4,Other,Travel_Rarely,Yes
E100205,51,,Married,research & development ,Manager,19,3,Marketing,Travel_Rarely,No
E100206,23,Male,Single,research & development ,Manager,27,4,Human Resources,Travel_Rarely,Yes
E100207,39,,Single,Research & Development,Manufacturing Director,5,2,Human Resources,Travel_Rarely,No
E100208,28,Female,Divorced,HR,Manager,18,2,Medical,Travel_Rarely,No
E100209,33,Male,Single,Research & Development,Healthcare Representative,16,3,Medical,Travel_Rarely,No
E100210,50,Female,Married,research & development ,Laboratory Technician,4,4,Other,Travel_Rarely,No
E100211,26,Female,Single,Sales,Sales Representative,12,4,Technical Degree,Travel_Rarely,No
E100212,23,Male,Single,Research & Development,Healthcare Representative,29,1,Life Sciences,Travel_Rarely,No
E100213,33,Male,Single,Research & Development,Manager,7,5,Technical Degree,Travel_Frequently,No
E100214,46,Male,Single,Sales,Sales Executive,14,2,Technical Degree,Travel_Frequently,No
E100215,20,Female,Divorced,sales ,Sales Representative,23,1,Other,Travel_Rarely,No
E100216,37,Male,Single,research & development ,Healthcare Representative,12,2,Marketing,Travel_Frequently,No
E100217,53,Female,Divorced,Research & Development,Manager,3,1,Other,Travel_Rarely,No
E100218,36,Female,Married,research & development ,Manufacturing Director,5,5,Other,Non-Travel,Yes
E100219,43,Female,Married,Sales,Sales Representative,17,1,Human Resources,Travel_Rarely,No
E100220,20,Male,Married,R&D,Healthcare Representative,26,2,Human Resources,Travel_Frequently,Yes
E100221,36,Female,Married,sales ,Sales Executive,10,4,Human Resources,Travel_Rarely,No
E100222,37,Female,Married,Research & Development,Research Scientist,10,2,Life Sciences,Travel_Rarely,No
E100223,49,Male,Single,sales ,Sales Executive,11,3,Marketing,Travel_Frequently,No
E100224,24,Male,Married,SALES,Manager,17,3,Marketing,Travel_Frequently,Yes
E100225,58,Female,Divorced,Sales,Manager,5,3,Human Resources,Travel_Rarely,No
E100226,50,Male,Divorced,Research & Development,Manufacturing Director,13,3,Technical Degree,Travel_Rarely,No
E100227,57,Female,Divorced,Sales,Manager,10,5,Life Sciences,Travel_Rarely,No
E100228,56,Male,Married,R&D,Manager,9,4,Technical Degree,Travel_Rarely,No
E100229,35,Male,Divorced,Research & Development,Laboratory Technician,17,4,Medical,Travel_Frequently,No
E100230,57,Female,Married,R&D,Manufacturing Director,1,2,Marketing,Travel_Rarely,No
E100231,18,Male,Married,R&D,Manager,4,1,Marketing,Travel_Frequently,No
E100232,28,Male,Single,R&D,Manager,4,2,Technical Degree,Travel_Rarely,No
E100233,45,Male,Married,SALES,Sales Representative,18,2,Life Sciences,Travel_Rarely,Yes
E100234,42,Male,Single,research & development ,Research Scientist,9,2,Marketing,Non-Travel,No
E100235,40,Male,Married,Sales,Sales Executive,25,2,Technical Degree,Travel_Rarely,No
E100236,48,Male,Divorced,Sales,Manager,29,4,Other,Non-Travel,No
E100237,47,Female,Single,Research & Development,Healthcare Representative,29,1,Other,Travel_Rarely,Yes
E100238,59,Male,Single,research & development ,Manufacturing Director,18,2,Life Sciences,Non-Travel,Yes
E100239,52,Female,Single,research & development ,Laboratory Technician,14,4,Technical Degree,Travel_Rarely,No
E100240,24,Male,Divorced,Research & Development,Manager,25,2,Other,Travel_Rarely,Yes
E100241,33,Female,Married,human resources,Human Resources,15,3,Life Sciences,Travel_Rarely,Yes
E100242,43,Male,Married,SALES,Manager,6,2,Human Resources,Travel_Rarely,No
E100243,19,Female,Divorced,SALES,Sales Executive,24,2,Life Sciences,Travel_Rarely,No
E100244,18,,Divorced,sales ,Sales Executive,10,5,Medical,Travel_Rarely,No
E100245,29,Male,Married,sales ,Sales Representative,29,3,Human Resources,Travel_Rarely,Yes
E100246,22,Male,Married,R&D,Manager,15,1,Technical Degree,Travel_Rarely,No
E100247,54,Male,Married,Research & Development,Research Scientist,29,2,Human Resources,Travel_Rarely,No
E100248,49,Male,Married,sales ,Sales Executive,4,1,Human Resources,Travel_Frequently,No
E100249,26,Male,Single,human resources,Manager,18,3,Technical Degree,Travel_Rarely,No
E100250,58,Female,Divorced,Research & Development,Manager,18,2,Technical Degree,Travel_Rarely,No
E100251,52,Male,Married,sales ,Sales Representative,25,5,Other,Non-Travel,Yes
E100252,36,Male,Single,Sales,Sales Representative,17,4,Medical,Travel_Rarely,No
E100253,33,Female,Married,SALES,Sales Executive,12,5,Technical Degree,Travel_Rarely,No
E100254,20,Female,Single,sales ,Sales Executive,7,5,Marketing,Travel_Rarely,No
E100255,37,Male,Single,sales ,Sales Representative,16,4,Marketing,Travel_Rarely,No
E100256,41,,Married,R&D,Healthcare Representative,11,4,Medical,Travel_Rarely,No
E100257,50,Male,Single,SALES,Sales Representative,14,4,Life Sciences,Travel_Rarely,No
E100258,41,Female,Married,research & development ,Manager,3,2,Life Sciences,Travel_Rarely,No
E100259,28,Female,Married,Human Resources,Human Resources,19,1,Marketing,Travel_Rarely,No
E100260,25,Male,Single,Research & Development,Laboratory Technician,18,1,Technical Degree,Travel_Frequently,No
E100261,53,Female,Divorced,Human Resources,Manager,10,4,Medical,Travel_Rarely,No
E100262,55,Female,Single,sales ,Sales Representative,6,5,Life Sciences,Travel_Rarely,Yes
E100263,57,Male,Single,research & development ,Research Scientist,13,3,Life Sciences,Travel_Frequently,No
E100264,37,Female,Single,research & development ,Manager,10,4,Human Resources,Non-Travel,No
E100265,52,Male,Single,Sales,Sales Representative,18,5,Marketing,Travel_Rarely,No
E100266,42,Male,Single,Sales,Sales Executive,26,5,,Non-Travel,No
E100267,52,Male,Married,R&D,Research Scientist,20,2,Medical,Travel_Frequently,No
E100268,42,Male,Divorced,Research & Development,Manager,26,2,Life Sciences,Non-Travel,No
E100269,46,Male,Single,Research & Development,Research Scientist,16,1,Human Resources,Travel_Rarely,No
E100270,35,Female,Married,research & development ,Research Scientist,25,1,Marketing,Travel_Frequently,No
E100271,35,Male,Married,R&D,Healthcare Representative,25,3,Marketing,Travel_Rarely,No
E100272,19,Male,Divorced,SALES,Sales Representative,6,3,Medical,Travel_Rarely,Yes
E100273,52,Male,Married,Research & Development,Manager,13,3,Life Sciences,Non-Travel,No
E100274,33,Female,Single,sales ,Manager,4,3,Medical,Travel_Rarely,No
E100275,58,Male,Married,SALES,Manager,23,5,Medical,Travel_Frequently,No
E100276,53,Male,Married,Human Resources,Manager,14,5,Other,Travel_Rarely,No
E100277,50,Male,Divorced,Research & Development,Research Scientist,1,1,Human Resources,Travel_Frequently,No
E100278,21,Male,Single,Research & Development,Manufacturing Director,28,2,Marketing,Travel_Frequently,Yes
E100279,50,Female,Married,Research & Development,Laboratory Technician,20,2,Other,Travel_Rarely,No
E100280,31,Female,Divorced,R&D,Laboratory Technician,5,4,Technical Degree,Travel_Rarely,No
E100281,38,Male,Divorced,SALES,Sales Representative,8,5,Marketing,Travel_Rarely,No
E100282,37,Female,Divorced,Sales,Sales Representative,12,3,Marketing,Non-Travel,No
E100283,25,Female,Married,sales ,Sales Representative,2,3,Human Resources,Travel_Rarely,No
E100284,24,Female,Married,research & development ,Manufacturing Director,12,4,Technical Degree,Travel_Frequently,Yes
E100285,20,Male,Married,R&D,Manager,5,2,Life Sciences,Travel_Rarely,No
E100286,34,Male,Married,research & development ,Manufacturing Director,22,3,Technical Degree,Travel_Frequently,No
E100287,50,Male,Single,research & development ,Healthcare Representative,5,2,Life Sciences,Travel_Frequently,No
E100288,29,Female,Married,HR,Human Resources,13,4,Technical Degree,Travel_Frequently,Yes
E100289,39,Male,Married,sales ,Sales Executive,9,2,Medical,Travel_Frequently,Yes
E100290,39,Male,Single,sales ,Manager,10,2,Technical Degree,Travel_Rarely,No
E100291,47,Male,Divorced,research & development ,Laboratory Technician,1,2,Other,Travel_Frequently,No
E100292,55,Female,Married,R&D,Manufacturing Director,3,3,Other,Travel_Rarely,Yes
E100293,55,Male,Divorced,Human Resources,Human Resources,18,1,Human Resources,Travel_Rarely,No
E100294,25,Female,Single,SALES,Sales Executive,12,5,Life Sciences,Travel_Rarely,No
E100295,44,Female,Single,research & development ,Healthcare Representative,29,2,Marketing,Travel_Rarely,No
E100296,44,Male,Married,research & development ,Laboratory Technician,3,2,Human Resources,Travel_Rarely,No
E100297,51,Female,Single,Sales,Sales Executive,26,2,Other,Travel_Rarely,No
E100298,38,Male,Married,research & development ,Manufacturing Director,25,1,Other,Travel_Rarely,No
E100299,47,Female,Married,research & development ,Laboratory Technician,29,4,Life Sciences,Travel_Rarely,No
E100300,50,Male,Single,HR,Human Resources,9,3,,Travel_Rarely,Yes
E100301,45,Female,Married,SALES,Manager,26,1,Other,Travel_Frequently,No
E100302,50,Female,Married,Research & Development,Manufacturing Director,2,2,Life Sciences,Travel_Rarely,No
E100303,22,,Married,research & development ,Laboratory Technician,3,1,Other,Non-Travel,No
E100304,36,Female,Divorced,Research & Development,Manager,14,1,Marketing,Travel_Frequently,No
E100305,21,Male,Divorced,R&D,Research Scientist,4,1,Medical,Travel_Frequently,No
E100306,52,Female,Married,Research & Development,Manager,25,4,Human Resources,Travel_Frequently,No
E100307,34,Female,Married,research & development ,Laboratory Technician,19,5,Marketing,Travel_Rarely,No
E100308,45,Male,Married,Research & Development,Research Scientist,13,3,Marketing,Travel_Rarely,No
E100309,47,Male,Divorced,R&D,Research Scientist,7,4,Medical,Travel_Rarely,Yes
E100310,46,,Married,Sales,Sales Executive,12,4,Human Resources,Travel_Rarely,No
E100311,23,Female,Married,R&D,Healthcare Representative,3,5,Marketing,Non-Travel,No
E100312,52,Female,Divorced,sales ,Sales Representative,23,4,Other,Travel_Rarely,No
