EmployeeID,Age,Gender,MaritalStatus,Department,DistanceFromHome,Education,EducationField,JobRole,JobLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TotalWorkingYears,ManagerChangesLast2Yrs,MonthlyIncome,PercentSalaryHike,StockOptionLevel,OverTime,BusinessTravel,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,TrainingTimesLastYear,Attrition
E100014,41,Male,Married,Research & Development,7,5,Technical Degree,Healthcare Representative,4,3,1,0,0,1,10,2,15482,21,2,No,Travel_Rarely,2,3,1,2,1,3,1,Yes
E100015,20,Female,Married,Research & Development,10,3,Medical,Healthcare Representative,1,3,2,1,1,6,16,0,7685,25,2,No,Travel_Rarely,2,3,1,4,3,3,2,No
E100016,39,Male,Divorced,Sales,4,3,Medical,Manager,2,1,0,0,0,1,6,1,10601,19,0,Yes,Travel_Rarely,3,2,3,3,3,3,6,Yes
E100017,19,Male,Single,Research & Development,9,2,Human Resources,Laboratory Technician,4,3,2,0,1,5,14,1,14780,22,3,No,Travel_Frequently,4,3,1,1,3,3,3,Yes
E100018,41,Female,Married,Research & Development,27,5,Marketing,Laboratory Technician,5,0,0,0,0,0,5,0,16683,20,0,Yes,Travel_Frequently,1,3,1,2,1,3,0,No
E100019,47,Male,Married,Research & Development,26,3,Other,Manager,1,10,5,5,3,6,19,0,8114,21,0,No,Non-Travel,1,3,3,3,1,3,1,No
E100020,55,Female,Single,Research & Development,14,3,Marketing,Laboratory Technician,4,5,2,2,3,6,8,0,16938,14,0,Yes,Non-Travel,1,4,2,3,2,3,2,No
E100021,19,Female,Single,Sales,2,2,Human Resources,Manager,2,25,6,11,20,3,33,0,11746,22,0,Yes,Travel_Rarely,4,3,4,2,3,3,1,No
E100022,38,Male,Married,Sales,25,4,Marketing,Manager,4,0,0,0,0,3,6,1,17198,17,2,Yes,Travel_Rarely,3,4,3,2,1,4,4,No
E100023,50,Male,Married,Research & Development,9,3,Life Sciences,Manufacturing Director,1,1,0,0,0,9,14,1,7703,21,0,Yes,Travel_Rarely,4,4,3,1,4,4,5,Yes
E100024,29,Male,Single,Sales,21,1,Life Sciences,Manager,4,10,4,4,4,4,20,0,19947,18,0,No,Non-Travel,4,3,1,4,2,3,3,No
E100025,39,Female,Married,Sales,27,1,Technical Degree,Sales Executive,5,2,0,0,1,1,7,0,17419,24,0,No,Travel_Rarely,4,4,3,3,1,4,5,No
E100026,42,Female,Married,Human Resources,1,4,Technical Degree,Manager,3,3,1,0,0,8,3,0,13399,16,2,No,Travel_Rarely,4,1,3,1,1,3,6,No
E100027,44,Female,Married,Research & Development,23,5,Human Resources,Manufacturing Director,1,9,8,0,6,9,10,1,6038,13,3,No,Travel_Frequently,4,2,4,2,1,3,3,No
E100028,59,Male,Single,Research & Development,10,2,Human Resources,Laboratory Technician,1,3,2,1,1,3,14,0,7524,21,2,Yes,Travel_Rarely,3,3,3,4,2,3,3,No
E100029,45,Female,Divorced,Research & Development,10,1,Human Resources,Manufacturing Director,1,1,0,0,0,8,6,0,6519,15,2,No,Non-Travel,2,3,1,4,1,3,6,No
E100030,33,Male,Single,Human Resources,20,1,Life Sciences,Manager,1,11,9,6,9,2,21,0,7944,11,2,Yes,Travel_Frequently,1,2,4,3,1,3,0,Yes
E100031,32,Female,Married,Research & Development,25,4,Marketing,Manager,4,0,0,0,0,8,14,1,18735,24,3,Yes,Travel_Rarely,4,3,3,4,4,3,4,No
E100032,20,Male,Single,Research & Development,22,5,Other,Laboratory Technician,5,11,10,4,10,0,11,1,16872,23,0,Yes,Travel_Rarely,4,3,1,2,4,3,0,No
E100033,54,Female,Single,Research & Development,29,5,Human Resources,Manufacturing Director,2,0,0,0,0,6,14,0,10644,18,0,No,Travel_Rarely,4,2,4,2,4,3,6,No
E100034,24,Male,Married,Research & Development,3,4,Human Resources,Healthcare Representative,5,5,2,0,3,3,19,0,19016,22,3,Yes,Travel_Frequently,1,4,3,2,1,4,4,No
E100035,38,Female,Single,Research & Development,6,1,Life Sciences,Laboratory Technician,1,0,0,0,0,6,10,1,7404,22,3,No,Travel_Rarely,3,1,1,1,4,4,4,Yes
E100036,26,Male,Divorced,Research & Development,29,2,Other,Laboratory Technician,4,6,2,1,5,9,10,0,14238,22,1,No,Non-Travel,1,4,4,2,3,3,6,No
E100037,56,Female,Single,Research & Development,26,1,Life Sciences,Healthcare Representative,4,0,0,0,0,5,0,0,16821,21,0,No,Travel_Frequently,3,1,1,1,4,3,4,No
E100038,35,Female,Married,Research & Development,6,5,Other,Laboratory Technician,1,9,7,2,2,3,21,0,9053,12,2,No,Travel_Rarely,2,2,4,2,4,3,3,No
E100039,21,Male,Married,Sales,21,1,Life Sciences,Manager,4,3,2,0,1,3,5,0,17487,23,2,No,Travel_Frequently,4,4,3,2,1,3,6,No
E100040,42,Female,Single,Research & Development,2,2,Marketing,Laboratory Technician,1,0,0,0,0,7,11,0,6288,20,0,No,Travel_Rarely,3,4,2,4,3,3,3,No
E100041,31,Female,Single,Sales,26,3,Human Resources,Manager,5,6,2,2,5,6,17,0,21343,17,3,Yes,Travel_Frequently,1,1,4,3,4,3,3,Yes
E100042,26,Male,Married,Research & Development,26,1,Medical,Healthcare Representative,3,3,1,0,2,3,14,0,11772,19,1,No,Travel_Rarely,3,1,3,2,1,4,0,Yes
E100043,43,Male,Married,Research & Development,18,4,Medical,Research Scientist,4,1,0,0,0,5,7,0,17824,11,2,Yes,Travel_Frequently,3,1,4,4,3,3,2,Yes
E100044,19,Female,Married,Research & Development,23,3,Human Resources,Healthcare Representative,1,0,0,0,0,5,4,0,6593,23,1,No,Travel_Frequently,2,1,2,4,4,3,5,No
E100045,37,Male,Married,Research & Development,2,4,Human Resources,Manufacturing Director,1,2,1,0,1,0,16,1,7691,14,2,No,Travel_Frequently,4,3,1,3,1,3,6,No
E100046,45,Male,Married,Research & Development,12,4,Human Resources,Manager,4,0,0,0,0,1,11,1,17769,17,2,No,Travel_Rarely,4,2,2,4,3,3,6,No
E100047,24,Male,Single,Research & Development,22,4,Human Resources,Healthcare Representative,2,0,0,0,0,3,14,1,9292,24,0,No,Travel_Frequently,1,1,2,4,4,3,6,Yes
E100048,25,Female,Married,Research & Development,5,1,Other,Manager,1,1,0,0,0,5,10,1,6959,19,2,Yes,Travel_Rarely,1,4,1,3,3,3,4,No
E100049,52,Male,Divorced,Research & Development,20,5,Marketing,Manager,4,4,2,2,2,5,4,0,14791,12,1,No,Non-Travel,2,4,2,1,3,3,6,No
E100050,31,Female,Married,Sales,7,3,Medical,Manager,1,3,2,0,2,0,3,1,6919,12,1,No,Travel_Frequently,3,4,3,3,1,3,6,Yes
E100051,34,Female,Married,Sales,24,2,Technical Degree,Manager,2,0,0,0,0,7,14,1,11713,16,0,No,Travel_Rarely,3,1,4,3,2,3,0,No
E100052,53,Female,Single,Sales,16,5,Medical,Manager,3,17,15,4,6,1,24,0,16028,13,2,Yes,Travel_Rarely,1,2,2,2,3,3,3,No
E100053,57,Female,Married,Research & Development,20,1,Medical,Research Scientist,2,10,7,2,7,4,20,0,12770,14,1,No,Travel_Rarely,4,3,4,2,3,3,5,No
E100054,21,Male,Married,Research & Development,1,4,Life Sciences,Laboratory Technician,5,1,0,0,0,3,14,1,19252,13,3,No,Travel_Rarely,3,1,4,1,3,3,3,No
E100055,19,Female,Married,Research & Development,1,2,Human Resources,Healthcare Representative,4,0,0,0,0,4,12,1,18753,23,0,No,Travel_Rarely,2,1,1,3,3,4,2,No
E100056,23,Male,Divorced,Sales,17,3,Human Resources,Manager,2,14,6,6,9,4,22,1,10934,11,3,No,Travel_Rarely,1,3,2,3,3,3,3,No
E100057,59,Male,Single,Sales,27,5,Human Resources,Sales Representative,3,3,1,0,1,9,9,0,14100,24,1,No,Travel_Rarely,3,2,1,1,2,3,4,No
E100058,21,Male,Single,Human Resources,1,5,Life Sciences,Manager,1,1,0,0,0,7,13,0,7774,24,3,No,Travel_Rarely,4,1,1,2,1,3,1,No
E100059,46,Male,Married,Sales,21,2,Marketing,Manager,4,3,1,0,2,9,5,0,13602,16,0,No,Travel_Frequently,4,4,4,3,2,3,6,No
E100060,35,Female,Divorced,Research & Development,20,1,Marketing,Manager,2,7,4,2,5,6,18,0,10598,21,3,No,Travel_Rarely,2,4,3,1,1,3,5,No
E100061,43,Female,Single,Research & Development,13,3,Technical Degree,Laboratory Technician,3,0,0,0,0,8,5,0,10869,21,1,No,Travel_Rarely,2,1,4,2,2,3,6,Yes
E100062,51,Male,Single,Research & Development,9,2,Marketing,Research Scientist,2,7,5,2,1,0,9,0,11468,23,3,No,Travel_Rarely,1,2,1,4,1,3,3,No
E100063,27,Male,Single,Sales,15,4,Marketing,Sales Representative,5,6,3,0,2,5,15,0,17999,12,3,Yes,Non-Travel,1,4,2,1,4,3,2,No
E100064,53,Female,Single,Sales,3,3,Human Resources,Sales Executive,4,3,1,0,2,5,6,0,16225,12,3,No,Travel_Rarely,4,4,3,1,3,3,5,No
E100065,31,Male,Married,Sales,14,5,Other,Sales Representative,1,10,2,3,9,1,21,0,8936,17,2,No,Non-Travel,4,3,3,3,1,3,1,No
E100066,48,Male,Married,Research & Development,23,2,Medical,Manufacturing Director,3,0,0,0,0,7,3,0,11343,15,1,No,Travel_Rarely,3,2,2,4,1,3,5,No
E100067,32,Male,Married,Research & Development,11,5,Marketing,Healthcare Representative,2,4,1,0,3,5,6,2,9576,18,3,Yes,Travel_Rarely,3,1,2,2,3,3,6,Yes
E100068,25,Female,Married,Sales,24,5,Marketing,Sales Representative,4,2,1,0,1,9,11,2,17155,24,1,No,Travel_Rarely,3,3,3,4,4,3,6,Yes
E100069,31,Female,Single,Research & Development,22,5,Life Sciences,Research Scientist,2,2,1,0,0,8,7,0,8747,12,3,No,Travel_Rarely,2,3,1,3,3,3,4,Yes
E100070,40,Male,Single,Research & Development,12,1,Technical Degree,Laboratory Technician,4,1,0,0,0,9,5,2,17228,23,0,No,Travel_Frequently,2,3,3,3,1,3,4,No
E100071,57,Male,Married,Sales,13,5,Other,Manager,5,2,0,0,1,4,12,1,18739,20,0,Yes,Non-Travel,3,2,3,2,1,3,4,No
E100072,38,Female,Divorced,Research & Development,26,4,Life Sciences,Healthcare Representative,2,0,0,0,0,6,8,0,9005,18,0,Yes,Travel_Rarely,4,2,3,2,3,3,2,No
E100073,33,Female,Divorced,Research & Development,13,4,Human Resources,Healthcare Representative,5,1,0,0,0,5,9,0,19922,17,3,No,Travel_Frequently,1,2,1,2,2,3,1,No
E100074,35,Male,Single,Sales,1,3,Medical,Manager,3,1,0,0,0,4,3,0,12124,23,1,No,Travel_Frequently,2,1,2,3,3,3,4,Yes
E100075,41,Female,Divorced,Research & Development,24,5,Technical Degree,Research Scientist,5,6,4,1,1,5,18,0,23264,20,0,No,Travel_Rarely,2,2,2,2,1,3,6,No
E100076,43,Male,Divorced,Research & Development,10,5,Life Sciences,Healthcare Representative,4,0,0,0,0,3,8,0,18113,24,2,No,Travel_Rarely,3,3,2,2,1,3,3,No
E100077,42,Male,Divorced,Research & Development,3,2,Marketing,Research Scientist,3,5,3,2,3,2,17,0,14069,18,0,No,Non-Travel,1,4,1,2,1,3,1,No
E100078,58,Female,Married,Research & Development,24,1,Marketing,Laboratory Technician,2,1,0,0,0,0,12,0,9903,21,0,No,Travel_Rarely,2,1,1,1,4,3,4,No
E100079,46,Male,Married,Research & Development,28,3,Technical Degree,Research Scientist,2,0,0,0,0,0,2,0,8661,13,2,Yes,Travel_Rarely,1,1,2,2,3,4,1,No
E100080,32,Female,Single,Research & Development,4,5,Marketing,Research Scientist,4,1,0,0,0,5,4,0,14679,18,0,Yes,Non-Travel,2,1,4,3,4,4,5,No
E100081,18,Male,Single,Research & Development,16,2,Life Sciences,Healthcare Representative,1,1,0,0,0,8,1,0,5897,25,3,No,Travel_Frequently,1,3,4,1,3,3,3,Yes
E100082,42,Male,Single,Research & Development,8,1,Life Sciences,Manager,1,4,2,1,3,7,8,0,7269,16,3,No,Travel_Rarely,1,2,2,3,4,3,0,No
E100083,24,Female,Single,Research & Development,16,3,Marketing,Manager,2,2,1,0,0,1,13,2,9866,12,0,No,Non-Travel,2,3,4,4,2,3,4,No
E100084,26,Male,Married,Sales,27,3,Marketing,Manager,4,16,9,8,14,8,24,0,16489,16,1,No,Travel_Rarely,1,4,4,1,1,3,3,No
E100085,41,Female,Married,Research & Development,17,5,Human Resources,Manufacturing Director,1,16,7,5,7,7,30,1,9231,15,1,No,Travel_Rarely,4,2,2,2,1,3,2,No
E100086,18,Male,Married,Research & Development,19,3,Medical,Manager,5,2,1,0,1,8,3,1,16421,13,0,No,Non-Travel,2,4,2,1,3,3,5,Yes
E100087,25,Male,Single,Research & Development,22,2,Technical Degree,Laboratory Technician,2,7,2,3,6,3,10,2,10709,11,2,No,Travel_Rarely,2,1,1,3,1,3,4,Yes
E100088,41,Male,Divorced,Human Resources,15,3,Life Sciences,Manager,5,0,0,0,0,8,9,0,19687,17,3,Yes,Travel_Frequently,4,1,4,1,4,3,0,No
E100089,28,Female,Divorced,Sales,16,4,Technical Degree,Sales Representative,4,3,0,0,1,1,4,2,15762,12,3,No,Travel_Frequently,1,3,4,4,2,3,5,No
E100090,34,Male,Divorced,Research & Development,15,2,Human Resources,Laboratory Technician,5,6,3,1,0,0,19,0,19535,11,3,No,Travel_Rarely,4,2,2,2,4,3,3,No
E100091,25,Female,Divorced,Sales,25,1,Life Sciences,Sales Executive,1,1,0,0,0,8,8,1,7468,11,0,No,Travel_Frequently,2,1,3,2,4,3,5,No
E100092,52,Male,Married,Research & Development,2,1,Human Resources,Manufacturing Director,1,0,0,0,0,9,8,0,5841,17,3,No,Travel_Rarely,4,3,2,4,3,3,3,No
E100093,52,Female,Divorced,Research & Development,11,5,Human Resources,Laboratory Technician,3,0,0,0,0,7,2,1,13709,22,0,No,Travel_Rarely,1,4,1,3,1,4,1,Yes
E100094,50,Male,Single,Research & Development,1,5,Other,Manufacturing Director,2,2,1,0,0,6,14,1,10188,11,0,No,Travel_Rarely,4,3,3,1,4,3,4,No
E100095,22,Female,Married,Research & Development,15,4,Marketing,Research Scientist,4,3,2,1,2,7,17,0,19320,19,1,No,Travel_Rarely,2,2,3,3,3,3,0,No
E100096,59,Female,Single,Research & Development,26,1,Other,Healthcare Representative,2,2,1,0,1,0,10,2,10793,16,2,Yes,Travel_Rarely,1,2,3,3,4,3,2,No
E100097,56,Female,Single,Research & Development,19,1,Technical Degree,Manager,5,2,0,0,1,8,7,1,17043,14,2,No,Travel_Rarely,2,2,1,3,4,4,1,No
E100098,58,Female,Single,Research & Development,4,1,Technical Degree,Healthcare Representative,4,3,2,1,1,9,8,0,17877,22,2,Yes,Travel_Frequently,2,1,4,2,4,3,4,No
E100099,45,Female,Married,Research & Development,11,1,Marketing,Manager,4,7,5,2,3,8,13,0,17781,14,3,No,Travel_Rarely,3,3,2,1,3,3,0,No
E100100,24,Female,Divorced,Human Resources,5,3,Other,Manager,1,0,0,0,0,8,11,0,6035,25,1,No,Travel_Rarely,2,4,1,2,2,4,1,Yes
E100101,26,Male,Married,Sales,3,2,Technical Degree,Sales Executive,5,7,5,0,0,5,11,0,17641,23,1,No,Travel_Rarely,2,2,1,2,4,3,0,No
E100102,25,Male,Single,Sales,13,2,Other,Sales Executive,1,5,1,0,3,3,10,2,7180,22,0,Yes,Travel_Rarely,1,3,3,2,4,3,5,No
E100103,29,Female,Divorced,Research & Development,10,4,Marketing,Manager,1,6,3,2,0,1,16,0,7991,24,1,No,Travel_Rarely,1,1,3,1,3,3,0,Yes
E100104,51,Female,Married,Human Resources,11,3,Life Sciences,Manager,3,6,3,1,2,3,6,0,13768,15,0,No,Travel_Frequently,1,4,1,4,1,3,1,No
E100105,50,Female,Married,Research & Development,18,1,Human Resources,Healthcare Representative,1,3,0,0,0,6,5,0,6716,12,1,Yes,Travel_Rarely,4,4,4,2,2,3,1,No
E100106,40,Male,Married,Sales,2,1,Human Resources,Sales Executive,2,1,0,0,0,0,12,0,10834,15,0,No,Non-Travel,4,4,3,2,3,3,4,No
E100107,41,Male,Single,Research & Development,7,5,Other,Healthcare Representative,4,3,1,0,1,8,11,0,17947,12,3,No,Travel_Rarely,1,1,1,2,1,3,1,No
E100108,54,Male,Married,Research & Development,9,5,Technical Degree,Healthcare Representative,1,15,6,4,3,2,26,0,9018,22,1,No,Travel_Rarely,4,2,3,1,3,4,6,No
E100109,52,Female,Divorced,Sales,10,4,Other,Manager,2,4,2,1,1,3,8,0,9152,14,2,No,Travel_Rarely,3,1,2,1,3,3,6,No
E100110,57,Male,Single,Research & Development,18,1,Other,Research Scientist,5,0,0,0,0,4,4,1,21328,20,0,No,Travel_Rarely,4,4,2,3,2,3,5,No
E100111,39,Male,Married,Human Resources,23,4,Medical,Human Resources,4,0,0,0,0,2,7,0,13807,21,1,Yes,Travel_Rarely,3,3,2,2,2,3,6,No
E100112,44,Male,Divorced,Research & Development,7,3,Human Resources,Healthcare Representative,5,24,17,5,12,3,34,0,21676,24,1,No,Non-Travel,1,4,3,2,2,3,4,No
E100113,52,Male,Married,Research & Development,27,2,Marketing,Laboratory Technician,2,0,0,0,0,4,10,0,10793,15,0,No,Non-Travel,1,3,3,1,2,3,0,No
E100114,18,Male,Single,Research & Development,7,1,Other,Healthcare Representative,5,0,0,0,0,0,12,2,19504,16,1,No,Travel_Rarely,4,1,4,1,1,3,1,Yes
E100115,52,Male,Single,Sales,3,3,Medical,Manager,5,2,1,0,0,8,3,1,16171,16,2,No,Travel_Rarely,1,1,2,2,4,3,4,Yes
E100116,54,Female,Single,Research & Development,12,1,Medical,Manager,5,17,5,3,2,9,29,1,19118,19,0,No,Travel_Rarely,1,1,4,4,3,4,4,No
E100117,31,Male,Married,Research & Development,7,5,Human Resources,Manufacturing Director,1,1,0,0,0,9,7,0,6831,14,0,No,Travel_Rarely,2,3,1,3,2,3,2,Yes
E100118,20,Male,Married,Research & Development,17,4,Human Resources,Laboratory Technician,1,2,1,0,1,3,10,1,7862,23,0,No,Travel_Frequently,1,1,1,3,4,3,4,Yes
E100119,18,Male,Single,Research & Development,26,5,Human Resources,Healthcare Representative,1,5,3,0,1,8,11,1,7129,24,0,No,Travel_Rarely,2,2,2,2,1,3,4,Yes
E100120,22,Male,Divorced,Research & Development,1,2,Marketing,Research Scientist,4,0,0,0,0,3,11,1,16653,15,0,No,Travel_Frequently,1,4,4,3,2,3,2,No
E100121,43,Male,Married,Research & Development,5,5,Medical,Healthcare Representative,2,11,9,1,5,0,15,0,10116,16,2,No,Travel_Frequently,3,2,3,3,3,3,3,Yes
E100122,31,Male,Single,Sales,16,1,Technical Degree,Sales Representative,1,3,0,0,2,4,15,4,6952,14,0,Yes,Travel_Frequently,3,3,4,2,4,3,5,Yes
E100123,56,Female,Married,Research & Development,15,5,Marketing,Research Scientist,5,3,1,0,2,8,8,1,16663,16,2,No,Travel_Frequently,1,1,1,3,2,3,1,Yes
E100124,44,Male,Married,Human Resources,2,1,Life Sciences,Human Resources,5,9,2,2,6,2,12,0,18581,12,2,Yes,Travel_Rarely,3,4,4,1,3,3,2,Yes
E100125,26,Female,Single,Research & Development,9,2,Other,Manager,5,15,11,0,9,4,28,0,21526,22,2,No,Travel_Rarely,3,1,1,2,4,3,6,No
E100126,32,Female,Single,Human Resources,7,5,Human Resources,Human Resources,5,2,1,1,1,2,13,1,18242,23,0,No,Travel_Rarely,3,1,1,1,3,3,4,No
E100127,32,Female,Divorced,Sales,4,4,Medical,Manager,3,0,0,0,0,2,6,1,11232,17,2,Yes,Travel_Rarely,4,4,4,2,1,3,4,No
E100128,43,Male,Married,Research & Development,20,4,Other,Healthcare Representative,4,8,4,3,4,0,8,1,17322,13,0,No,Travel_Rarely,3,4,3,1,2,3,1,No
E100129,59,Male,Married,Research & Development,18,4,Marketing,Manufacturing Director,2,2,1,0,1,1,5,0,10624,24,2,No,Travel_Rarely,2,2,1,3,2,3,5,No
E100130,30,Male,Married,Research & Development,21,5,Life Sciences,Laboratory Technician,2,13,8,3,6,1,15,1,12102,20,0,No,Travel_Rarely,4,2,4,4,3,3,6,No
E100131,49,Male,Single,Research & Development,4,5,Marketing,Manager,1,14,12,1,6,8,26,0,9132,14,1,No,Travel_Rarely,2,2,1,1,4,3,0,No
E100132,56,Female,Single,Research & Development,28,5,Marketing,Manufacturing Director,3,0,0,0,0,6,3,0,10788,19,1,Yes,Travel_Frequently,2,2,2,1,2,3,2,Yes
E100133,49,Male,Married,Sales,13,1,Technical Degree,Sales Executive,2,15,10,1,5,7,15,0,11473,25,2,No,Travel_Frequently,2,2,3,4,3,3,3,No
E100134,21,Male,Single,Research & Development,1,2,Other,Healthcare Representative,4,2,1,0,1,1,13,0,14887,25,3,No,Travel_Rarely,4,3,2,4,1,3,1,No
E100135,47,Female,Single,Sales,28,4,Technical Degree,Manager,5,5,3,1,2,8,17,1,21585,22,3,No,Non-Travel,1,3,1,1,2,3,1,No
E100136,54,Female,Divorced,Research & Development,24,1,Marketing,Manager,1,0,0,0,0,2,1,1,6307,25,1,No,Travel_Rarely,3,1,3,1,3,3,2,No
E100137,40,Male,Divorced,Sales,3,4,Life Sciences,Manager,4,10,2,5,5,9,21,2,19027,23,2,No,Travel_Rarely,3,1,4,1,4,3,4,No
E100138,56,Male,Divorced,Sales,16,1,Medical,Sales Executive,2,5,1,0,3,1,15,0,12150,15,2,Yes,Travel_Frequently,1,2,4,2,2,3,4,No
E100139,32,Male,Divorced,Research & Development,22,5,Medical,Manufacturing Director,3,5,2,1,2,0,17,0,15150,19,2,No,Travel_Rarely,1,1,3,1,2,3,3,No
E100140,60,Male,Single,Research & Development,4,4,Other,Laboratory Technician,1,11,7,1,7,8,19,2,8442,20,3,No,Travel_Rarely,2,3,2,1,1,3,2,No
E100141,46,Male,Divorced,Research & Development,25,5,Human Resources,Healthcare Representative,2,3,0,0,1,7,17,0,10158,23,1,No,Travel_Rarely,4,3,2,4,3,3,1,No
E100142,53,Male,Single,Research & Development,23,4,Human Resources,Manager,1,2,0,0,0,3,8,0,7508,20,2,Yes,Travel_Rarely,2,1,3,4,4,3,6,No
E100143,30,Male,Divorced,Research & Development,25,3,Medical,Research Scientist,2,10,4,3,8,6,22,0,10430,20,1,No,Travel_Rarely,3,2,4,2,1,3,2,No
E100144,49,Male,Divorced,Research & Development,16,1,Marketing,Healthcare Representative,5,6,3,1,1,2,11,0,22227,22,1,No,Travel_Rarely,1,3,3,2,1,3,0,No
E100145,24,Male,Married,Research & Development,26,3,Marketing,Manufacturing Director,3,14,5,2,7,2,15,0,13118,20,0,No,Travel_Frequently,3,4,2,3,1,3,1,No
E100146,39,Male,Divorced,Sales,19,1,Technical Degree,Sales Representative,5,14,3,6,3,3,14,0,17941,16,3,No,Non-Travel,1,4,1,1,3,3,3,No
E100147,45,Male,Married,Research & Development,1,2,Other,Laboratory Technician,2,2,0,0,1,1,3,1,10167,18,1,No,Travel_Rarely,4,1,4,1,3,4,3,Yes
E100148,19,Female,Single,Human Resources,5,4,Technical Degree,Human Resources,4,2,0,0,0,9,8,1,13833,15,0,No,Travel_Rarely,2,2,3,4,2,3,1,No
E100149,59,Female,Married,Research & Development,19,2,Human Resources,Healthcare Representative,5,1,0,0,0,3,2,4,20607,15,3,No,Travel_Rarely,3,1,1,3,3,3,4,No
E100150,23,Male,Married,Sales,22,2,Medical,Sales Representative,4,5,2,0,1,9,7,1,14989,13,2,No,Travel_Frequently,4,2,2,1,1,3,1,No
E100151,45,Male,Single,Sales,24,1,Marketing,Manager,2,2,1,0,0,2,9,1,11131,17,2,No,Travel_Rarely,3,2,4,3,3,3,1,No
E100152,45,Male,Married,Sales,11,3,Medical,Sales Executive,3,7,4,3,6,7,13,1,14444,12,0,No,Travel_Frequently,1,4,3,2,4,3,0,Yes
E100153,37,Female,Divorced,Research & Development,13,5,Life Sciences,Manager,4,0,0,0,0,1,11,0,17448,21,2,No,Travel_Frequently,3,3,2,1,2,3,1,No
E100154,47,Female,Single,Research & Development,20,1,Medical,Healthcare Representative,2,0,0,0,0,8,10,2,9691,22,0,Yes,Travel_Frequently,4,3,3,1,1,4,5,Yes
E100155,28,Male,Divorced,Sales,5,5,Life Sciences,Manager,4,1,0,0,0,2,11,0,14423,13,0,Yes,Travel_Rarely,4,1,3,2,2,3,6,Yes
E100156,45,Female,Divorced,Human Resources,21,2,Technical Degree,Human Resources,5,0,0,0,0,3,13,0,22046,25,2,No,Travel_Rarely,2,1,4,1,3,3,5,No
E100157,42,Male,Divorced,Research & Development,4,5,Technical Degree,Healthcare Representative,2,4,1,1,2,9,14,0,9535,12,3,No,Travel_Rarely,3,2,2,2,2,3,2,No
