EmployeeKey,EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,DistanceFromHome,Education,EducationField,BusinessTravel,Attrition,MonthlyIncome,PercentSalaryHike,StockOptionLevel,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,RelationshipSatisfaction,OverTime,JobLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,ManagerChangesLast2Yrs,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear,MonthlyIncome_was_missing,YearsSinceLastPromotion_was_missing,ManagerChangesLast2Yrs_was_missing
100027,E100027,44,Female,Married,Research & Development,Manufacturing Director,23,5,Human Resources,Travel_Frequently,No,6038.0,13.0,3.0,3.0,2.0,4.0,2.0,1.0,4.0,No,1,9,8,0.0,6,1.0,9,10,3,0,0,0
100028,E100028,59,Male,Single,Research & Development,Laboratory Technician,10,2,Human Resources,Travel_Rarely,No,7524.0,21.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,Yes,1,3,2,1.0,1,0.0,3,14,3,0,0,0
100029,E100029,45,Female,Divorced,Research & Development,Manufacturing Director,10,1,Human Resources,Non-Travel,No,6519.0,15.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0,No,1,1,0,0.0,0,0.0,8,6,6,0,0,0
100030,E100030,33,Male,Single,Human Resources,Manager,20,1,Life Sciences,Travel_Frequently,Yes,7944.0,11.0,2.0,3.0,2.0,1.0,3.0,1.0,4.0,Yes,1,11,9,6.0,9,0.0,2,21,0,0,0,0
100031,E100031,32,Female,Married,Research & Development,Manager,25,4,Marketing,Travel_Rarely,No,18735.0,24.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,Yes,4,0,0,0.0,0,1.0,8,14,4,0,0,0
100032,E100032,20,Male,Single,Research & Development,Laboratory Technician,22,5,Other,Travel_Rarely,No,16872.0,23.0,0.0,3.0,3.0,4.0,2.0,4.0,1.0,Yes,5,11,10,4.0,10,1.0,0,11,0,0,0,0
100033,E100033,54,Female,Single,Research & Development,Manufacturing Director,29,5,Human Resources,Travel_Rarely,No,10644.0,18.0,0.0,3.0,2.0,4.0,2.0,4.0,4.0,No,2,0,0,0.0,0,0.0,6,14,6,0,0,0
100034,E100034,24,Male,Married,Research & Development,Healthcare Representative,3,4,Human Resources,Travel_Frequently,No,19016.0,22.0,3.0,4.0,4.0,1.0,2.0,1.0,3.0,Yes,5,5,2,0.0,3,0.0,3,19,4,0,0,0
100035,E100035,38,Female,Single,Research & Development,Laboratory Technician,6,1,Life Sciences,Travel_Rarely,Yes,7404.0,22.0,3.0,4.0,1.0,3.0,1.0,4.0,1.0,No,1,0,0,0.0,0,1.0,6,10,4,0,0,0
100036,E100036,26,Male,Divorced,Research & Development,Laboratory Technician,29,2,Other,Non-Travel,No,14238.0,22.0,1.0,3.0,4.0,1.0,2.0,3.0,4.0,No,4,6,2,1.0,5,0.0,9,10,6,0,0,0
100037,E100037,56,Female,Single,Research & Development,Healthcare Representative,26,1,Life Sciences,Travel_Frequently,No,16821.0,21.0,0.0,3.0,1.0,3.0,1.0,4.0,1.0,No,4,0,0,0.0,0,0.0,5,0,4,0,0,0
100038,E100038,35,Female,Married,Research & Development,Laboratory Technician,6,5,Other,Travel_Rarely,No,9053.0,12.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,No,1,9,7,2.0,2,0.0,3,21,3,0,0,0
100039,E100039,21,Male,Married,Sales,Manager,21,1,Life Sciences,Travel_Frequently,No,17487.0,23.0,2.0,3.0,4.0,4.0,2.0,1.0,3.0,No,4,3,2,0.0,1,0.0,3,5,6,0,0,0
100040,E100040,42,Female,Single,Research & Development,Laboratory Technician,2,2,Marketing,Travel_Rarely,No,6288.0,20.0,0.0,3.0,4.0,3.0,4.0,3.0,2.0,No,1,0,0,0.0,0,0.0,7,11,3,0,0,0
100041,E100041,31,Female,Single,Sales,Manager,26,3,Human Resources,Travel_Frequently,Yes,21343.0,17.0,3.0,3.0,1.0,1.0,3.0,4.0,4.0,Yes,5,6,2,2.0,5,0.0,6,17,3,0,0,0
100042,E100042,26,Male,Married,Research & Development,Healthcare Representative,26,1,Medical,Travel_Rarely,Yes,11772.0,19.0,1.0,4.0,1.0,3.0,2.0,1.0,3.0,No,3,3,1,0.0,2,0.0,3,14,0,0,0,0
100043,E100043,43,Male,Married,Research & Development,Research Scientist,18,4,Medical,Travel_Frequently,Yes,17824.0,11.0,2.0,3.0,1.0,3.0,4.0,3.0,4.0,Yes,4,1,0,0.0,0,0.0,5,7,2,0,0,0
100044,E100044,19,Female,Married,Research & Development,Healthcare Representative,23,3,Human Resources,Travel_Frequently,No,6593.0,23.0,1.0,3.0,1.0,2.0,4.0,4.0,2.0,No,1,0,0,0.0,0,0.0,5,4,5,0,0,0
100045,E100045,37,Male,Married,Research & Development,Manufacturing Director,2,4,Human Resources,Travel_Frequently,No,7691.0,14.0,2.0,3.0,3.0,4.0,3.0,1.0,1.0,No,1,2,1,0.0,1,1.0,0,16,6,0,0,0
100046,E100046,45,Male,Married,Research & Development,Manager,12,4,Human Resources,Travel_Rarely,No,17769.0,17.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,No,4,0,0,0.0,0,1.0,1,11,6,0,0,0
100047,E100047,24,Male,Single,Research & Development,Healthcare Representative,22,4,Human Resources,Travel_Frequently,Yes,9292.0,24.0,0.0,3.0,1.0,1.0,4.0,4.0,2.0,No,2,0,0,0.0,0,1.0,3,14,6,0,0,0
100048,E100048,25,Female,Married,Research & Development,Manager,5,1,Other,Travel_Rarely,No,6959.0,19.0,2.0,3.0,4.0,1.0,3.0,3.0,1.0,Yes,1,1,0,0.0,0,1.0,5,10,4,0,0,0
100049,E100049,52,Male,Divorced,Research & Development,Manager,20,5,Marketing,Non-Travel,No,14791.0,12.0,1.0,3.0,4.0,2.0,1.0,3.0,2.0,No,4,4,2,2.0,2,0.0,5,4,6,0,0,0
100050,E100050,31,Female,Married,Sales,Manager,7,3,Medical,Travel_Frequently,Yes,6919.0,12.0,1.0,3.0,4.0,3.0,3.0,1.0,3.0,No,1,3,2,0.0,2,1.0,0,3,6,0,0,0
100051,E100051,34,Female,Married,Sales,Manager,24,2,Technical Degree,Travel_Rarely,No,11713.0,16.0,0.0,3.0,1.0,3.0,3.0,2.0,4.0,No,2,0,0,0.0,0,1.0,7,14,0,0,0,0
100052,E100052,53,Female,Single,Sales,Manager,16,5,Medical,Travel_Rarely,No,16028.0,13.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,Yes,3,17,15,4.0,6,0.0,1,24,3,0,0,0
100053,E100053,57,Female,Married,Research & Development,Research Scientist,20,1,Medical,Travel_Rarely,No,12770.0,14.0,1.0,3.0,3.0,4.0,2.0,3.0,4.0,No,2,10,7,2.0,7,0.0,4,20,5,0,0,0
100054,E100054,21,Male,Married,Research & Development,Laboratory Technician,1,4,Life Sciences,Travel_Rarely,No,19252.0,13.0,3.0,3.0,1.0,3.0,1.0,3.0,4.0,No,5,1,0,0.0,0,1.0,3,14,3,0,0,0
100055,E100055,19,Female,Married,Research & Development,Healthcare Representative,1,2,Human Resources,Travel_Rarely,No,18753.0,23.0,0.0,4.0,1.0,2.0,3.0,3.0,1.0,No,4,0,0,0.0,0,1.0,4,12,2,0,0,0
100056,E100056,23,Male,Divorced,Sales,Manager,17,3,Human Resources,Travel_Rarely,No,10934.0,11.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,No,2,14,6,6.0,9,1.0,4,22,3,0,0,0
100057,E100057,59,Male,Single,Sales,Sales Representative,27,5,Human Resources,Travel_Rarely,No,14100.0,24.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,No,3,3,1,0.0,1,0.0,9,9,4,0,0,0
100058,E100058,21,Male,Single,Human Resources,Manager,1,5,Life Sciences,Travel_Rarely,No,7774.0,24.0,3.0,3.0,1.0,4.0,2.0,1.0,1.0,No,1,1,0,0.0,0,0.0,7,13,1,0,1,0
100059,E100059,46,Male,Married,Sales,Manager,21,2,Marketing,Travel_Frequently,No,13602.0,16.0,0.0,3.0,4.0,4.0,3.0,2.0,4.0,No,4,3,1,0.0,2,0.0,9,5,6,0,0,0
100060,E100060,35,Female,Divorced,Research & Development,Manager,20,1,Marketing,Travel_Rarely,No,10598.0,21.0,3.0,3.0,4.0,2.0,1.0,1.0,3.0,No,2,7,4,2.0,5,0.0,6,18,5,0,0,0
100061,E100061,43,Female,Single,Research & Development,Laboratory Technician,13,3,Technical Degree,Travel_Rarely,Yes,10869.0,21.0,1.0,3.0,1.0,2.0,2.0,2.0,4.0,No,3,0,0,0.0,0,0.0,8,5,6,0,0,0
100062,E100062,51,Male,Single,Research & Development,Research Scientist,9,2,Marketing,Travel_Rarely,No,11468.0,23.0,3.0,3.0,2.0,1.0,4.0,1.0,1.0,No,2,7,5,2.0,1,0.0,0,9,3,0,0,0
100063,E100063,27,Male,Single,Sales,Sales Representative,15,4,Marketing,Non-Travel,No,17999.0,12.0,3.0,3.0,4.0,1.0,1.0,4.0,2.0,Yes,5,6,3,0.0,2,0.0,5,15,2,0,0,0
100064,E100064,53,Female,Single,Sales,Sales Executive,3,3,Human Resources,Travel_Rarely,No,16225.0,12.0,3.0,3.0,4.0,4.0,1.0,3.0,3.0,No,4,3,1,0.0,2,0.0,5,6,5,0,0,1
100065,E100065,31,Male,Married,Sales,Sales Representative,14,5,Other,Non-Travel,No,8936.0,17.0,2.0,3.0,3.0,4.0,3.0,1.0,3.0,No,1,10,2,3.0,9,0.0,1,21,1,0,0,0
100066,E100066,48,Male,Married,Research & Development,Manufacturing Director,23,2,Medical,Travel_Rarely,No,11343.0,15.0,1.0,3.0,2.0,3.0,4.0,1.0,2.0,No,3,0,0,0.0,0,0.0,7,3,5,0,0,0
100067,E100067,32,Male,Married,Research & Development,Healthcare Representative,11,5,Marketing,Travel_Rarely,Yes,9576.0,18.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,Yes,2,4,1,0.0,3,0.0,5,6,6,0,0,1
100068,E100068,25,Female,Married,Sales,Sales Representative,24,5,Marketing,Travel_Rarely,Yes,17155.0,24.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,No,4,2,1,0.0,1,2.0,9,11,6,0,0,0
100069,E100069,31,Female,Single,Research & Development,Research Scientist,22,5,Life Sciences,Travel_Rarely,Yes,13611.0,,,,,,,,,,2,2,1,0.0,0,0.0,8,7,4,1,0,0
100070,E100070,40,Male,Single,Research & Development,Laboratory Technician,12,1,Technical Degree,Travel_Frequently,No,17228.0,23.0,0.0,3.0,3.0,2.0,3.0,1.0,3.0,No,4,1,0,0.0,0,2.0,9,5,4,0,0,0
100071,E100071,57,Male,Married,Sales,Manager,13,5,Other,Non-Travel,No,18739.0,20.0,0.0,3.0,2.0,3.0,2.0,1.0,3.0,Yes,5,2,0,0.0,1,1.0,4,12,4,0,0,0
100072,E100072,38,Unknown,Divorced,Research & Development,Healthcare Representative,26,4,Life Sciences,Travel_Rarely,No,9005.0,18.0,0.0,3.0,2.0,4.0,2.0,3.0,3.0,Yes,2,0,0,0.0,0,0.0,6,8,2,0,0,0
100073,E100073,33,Female,Divorced,Research & Development,Healthcare Representative,13,4,Human Resources,Travel_Frequently,No,19922.0,17.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,No,5,1,0,0.0,0,0.0,5,9,1,0,0,0
100074,E100074,35,Male,Single,Sales,Manager,1,3,Medical,Travel_Frequently,Yes,13611.0,23.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,No,3,1,0,0.0,0,0.0,4,3,4,1,0,0
100075,E100075,41,Female,Divorced,Research & Development,Research Scientist,24,5,Technical Degree,Travel_Rarely,No,23264.0,20.0,0.0,3.0,2.0,2.0,2.0,1.0,2.0,No,5,6,4,1.0,1,0.0,5,18,6,0,0,0
100076,E100076,43,Male,Divorced,Research & Development,Healthcare Representative,10,5,Life Sciences,Travel_Rarely,No,18113.0,24.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,No,4,0,0,0.0,0,0.0,3,8,3,0,0,0
100077,E100077,42,Male,Divorced,Research & Development,Research Scientist,3,2,Marketing,Non-Travel,No,14069.0,18.0,0.0,3.0,4.0,1.0,2.0,1.0,1.0,No,3,5,3,2.0,3,0.0,2,17,1,0,0,0
100078,E100078,58,Female,Married,Research & Development,Laboratory Technician,24,1,Marketing,Travel_Rarely,No,9903.0,21.0,0.0,3.0,1.0,2.0,1.0,4.0,1.0,No,2,1,0,0.0,0,0.0,0,12,4,0,0,0
100079,E100079,46,Male,Married,Research & Development,Research Scientist,28,3,Technical Degree,Travel_Rarely,No,8661.0,13.0,2.0,4.0,1.0,1.0,2.0,3.0,2.0,Yes,2,0,0,0.0,0,0.0,0,2,1,0,0,0
100080,E100080,32,Female,Single,Research & Development,Research Scientist,4,5,Marketing,Non-Travel,No,14679.0,18.0,0.0,4.0,1.0,2.0,3.0,4.0,4.0,Yes,4,1,0,0.0,0,0.0,5,4,5,0,0,0
100081,E100081,18,Male,Single,Research & Development,Healthcare Representative,16,2,Life Sciences,Travel_Frequently,Yes,5897.0,25.0,3.0,3.0,3.0,1.0,1.0,3.0,4.0,No,1,1,0,0.0,0,0.0,8,1,3,0,0,0
100082,E100082,42,Male,Single,Research & Development,Manager,8,1,Life Sciences,Travel_Rarely,No,7269.0,16.0,3.0,3.0,2.0,1.0,3.0,4.0,2.0,No,1,4,2,1.0,3,0.0,7,8,0,0,0,0
100083,E100083,24,Female,Single,Research & Development,Manager,16,3,Marketing,Non-Travel,No,9866.0,12.0,0.0,3.0,3.0,2.0,4.0,2.0,4.0,No,2,2,1,0.0,0,2.0,1,13,4,0,0,0
100084,E100084,26,Male,Married,Sales,Manager,27,3,Marketing,Travel_Rarely,No,13611.0,16.0,1.0,3.0,4.0,1.0,1.0,1.0,4.0,No,4,16,9,8.0,14,0.0,8,24,3,1,0,0
100085,E100085,41,Female,Married,Research & Development,Manufacturing Director,17,5,Human Resources,Travel_Rarely,No,13611.0,,,,,,,,,,1,16,7,5.0,7,1.0,7,30,2,1,0,0
100086,E100086,18,Male,Married,Research & Development,Manager,19,3,Medical,Non-Travel,Yes,16421.0,13.0,0.0,3.0,4.0,2.0,1.0,3.0,2.0,No,5,2,1,0.0,1,1.0,8,3,5,0,0,0
100087,E100087,25,Male,Single,Research & Development,Laboratory Technician,22,2,Technical Degree,Travel_Rarely,Yes,10709.0,11.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,No,2,7,2,3.0,6,2.0,3,10,4,0,0,0
100088,E100088,41,Male,Divorced,Human Resources,Manager,15,3,Life Sciences,Travel_Frequently,No,19687.0,17.0,3.0,3.0,1.0,4.0,1.0,4.0,4.0,Yes,5,0,0,0.0,0,0.0,8,9,0,0,0,0
100089,E100089,28,Female,Divorced,Sales,Sales Representative,16,4,Technical Degree,Travel_Frequently,No,15762.0,12.0,3.0,3.0,3.0,1.0,4.0,2.0,4.0,No,4,3,0,0.0,1,0.0,1,4,5,0,0,1
100090,E100090,34,Male,Divorced,Research & Development,Laboratory Technician,15,2,Human Resources,Travel_Rarely,No,19535.0,11.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0,No,5,6,3,1.0,0,0.0,0,19,3,0,0,0
100091,E100091,25,Female,Divorced,Sales,Sales Executive,25,1,Life Sciences,Travel_Frequently,No,13611.0,11.0,0.0,3.0,1.0,2.0,2.0,4.0,3.0,No,1,1,0,0.0,0,1.0,8,8,5,1,0,0
100092,E100092,52,Male,Married,Research & Development,Manufacturing Director,2,1,Human Resources,Travel_Rarely,No,5841.0,17.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,No,1,0,0,0.0,0,0.0,9,8,3,0,0,0
100093,E100093,52,Female,Divorced,Research & Development,Laboratory Technician,11,5,Human Resources,Travel_Rarely,Yes,13709.0,22.0,0.0,4.0,4.0,1.0,3.0,1.0,1.0,No,3,0,0,0.0,0,1.0,7,2,1,0,0,0
100094,E100094,50,Male,Single,Research & Development,Manufacturing Director,1,5,Other,Travel_Rarely,No,10188.0,11.0,0.0,3.0,3.0,4.0,1.0,4.0,3.0,No,2,2,1,0.0,0,1.0,6,14,4,0,0,0
100095,E100095,22,Female,Married,Research & Development,Research Scientist,15,4,Marketing,Travel_Rarely,No,19320.0,19.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,No,4,3,2,1.0,2,0.0,7,17,0,0,0,0
100096,E100096,59,Female,Single,Research & Development,Healthcare Representative,26,1,Other,Travel_Rarely,No,10793.0,16.0,2.0,3.0,2.0,1.0,3.0,4.0,3.0,Yes,2,2,1,0.0,1,2.0,0,10,2,0,0,0
100097,E100097,56,Female,Single,Research & Development,Manager,19,1,Technical Degree,Travel_Rarely,No,17043.0,14.0,2.0,4.0,2.0,2.0,3.0,4.0,1.0,No,5,2,0,0.0,1,1.0,8,7,1,0,0,0
100098,E100098,58,Female,Single,Research & Development,Healthcare Representative,4,1,Technical Degree,Travel_Frequently,No,17877.0,22.0,2.0,3.0,1.0,2.0,2.0,4.0,4.0,Yes,4,3,2,1.0,1,0.0,9,8,4,0,0,0
100099,E100099,45,Female,Married,Research & Development,Manager,11,1,Marketing,Travel_Rarely,No,17781.0,14.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,No,4,7,5,2.0,3,0.0,8,13,0,0,0,0
100100,E100100,24,Female,Divorced,Human Resources,Manager,5,3,Other,Travel_Rarely,Yes,6035.0,25.0,1.0,4.0,4.0,2.0,2.0,2.0,1.0,No,1,0,0,0.0,0,0.0,8,11,1,0,0,0
100101,E100101,26,Male,Married,Sales,Sales Executive,3,2,Technical Degree,Travel_Rarely,No,17641.0,23.0,1.0,3.0,2.0,2.0,2.0,4.0,1.0,No,5,7,5,0.0,0,0.0,5,11,0,0,0,0
100102,E100102,25,Male,Single,Sales,Sales Executive,13,2,Other,Travel_Rarely,No,7180.0,22.0,0.0,3.0,3.0,1.0,2.0,4.0,3.0,Yes,1,5,1,0.0,3,2.0,3,10,5,0,0,0
100103,E100103,29,Female,Divorced,Research & Development,Manager,10,4,Marketing,Travel_Rarely,Yes,7991.0,24.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,No,1,6,3,2.0,0,0.0,1,16,0,0,0,0
100104,E100104,51,Female,Married,Human Resources,Manager,11,3,Life Sciences,Travel_Frequently,No,13768.0,15.0,0.0,3.0,4.0,1.0,4.0,1.0,1.0,No,3,6,3,1.0,2,0.0,3,6,1,0,0,0
100105,E100105,50,Female,Married,Research & Development,Healthcare Representative,18,1,Human Resources,Travel_Rarely,No,6716.0,12.0,1.0,3.0,4.0,4.0,2.0,2.0,4.0,Yes,1,3,0,0.0,0,0.0,6,5,1,0,0,1
100106,E100106,40,Male,Married,Sales,Sales Executive,2,1,Human Resources,Non-Travel,No,10834.0,15.0,0.0,3.0,4.0,4.0,2.0,3.0,3.0,No,2,1,0,0.0,0,0.0,0,12,4,0,0,0
100107,E100107,41,Male,Single,Research & Development,Healthcare Representative,7,5,Other,Travel_Rarely,No,17947.0,12.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,No,4,3,1,0.0,1,0.0,8,11,1,0,0,1
100108,E100108,54,Male,Married,Research & Development,Healthcare Representative,9,5,Technical Degree,Travel_Rarely,No,9018.0,22.0,1.0,4.0,2.0,4.0,1.0,3.0,3.0,No,1,15,6,4.0,3,0.0,2,26,6,0,0,0
100109,E100109,52,Female,Divorced,Sales,Manager,10,4,Other,Travel_Rarely,No,9152.0,14.0,2.0,3.0,1.0,3.0,1.0,3.0,2.0,No,2,4,2,1.0,1,0.0,3,8,6,0,0,0
100110,E100110,57,Male,Single,Research & Development,Research Scientist,18,1,Other,Travel_Rarely,No,21328.0,20.0,0.0,3.0,4.0,4.0,3.0,2.0,2.0,No,5,0,0,0.0,0,1.0,4,4,5,0,0,0
100111,E100111,39,Male,Married,Human Resources,Human Resources,23,4,Medical,Travel_Rarely,No,13807.0,21.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,Yes,4,0,0,0.0,0,0.0,2,7,6,0,0,0
100112,E100112,44,Male,Divorced,Research & Development,Healthcare Representative,7,3,Human Resources,Non-Travel,No,21676.0,24.0,1.0,3.0,4.0,1.0,2.0,2.0,3.0,No,5,24,17,5.0,12,0.0,3,34,4,0,0,0
100113,E100113,52,Unknown,Married,Research & Development,Laboratory Technician,27,2,Marketing,Non-Travel,No,10793.0,15.0,0.0,3.0,3.0,1.0,1.0,2.0,3.0,No,2,0,0,0.0,0,0.0,4,10,0,0,0,0
100114,E100114,18,Unknown,Single,Research & Development,Healthcare Representative,7,1,Other,Travel_Rarely,Yes,19504.0,16.0,1.0,3.0,1.0,4.0,1.0,1.0,4.0,No,5,0,0,0.0,0,0.0,0,12,1,0,0,1
100115,E100115,52,Unknown,Single,Sales,Manager,3,3,Medical,Travel_Rarely,Yes,16171.0,16.0,2.0,3.0,1.0,1.0,2.0,4.0,2.0,No,5,2,1,0.0,0,1.0,8,3,4,0,0,0
